Scanner Trigger at times:	0	3000	6000	9000	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.28	0.36	1	0.02	100	74	3000	8000	1000	2000	2000	0	0	0	10016	12864	12883	13900	Not shocked this trial	No picture this trial	15914	blah_de_blah_de_blah	1	2831	bet_right	Nothing yet	0	0	0	4	0	0	0	0	1	0	Not fifth trial	blah	3333333	15004	30914	25016	25033	27864	27883	28900	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.28	0.4	1	1	11	16	3000	8000	1000	2000	2000	0	0	0	6	1499	1518	2536	Not shocked this trial	No picture this trial	4549	blah_de_blah_de_blah	2	1464	bet_left	Nothing yet	1	0	0	5	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	37480	32937	32966	34430	34449	35467	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	32931
90	0.48	0.4	1	1	63	13	3000	8000	1000	2000	2000	0	0	0	6	1349	1368	2387	Not shocked this trial	No picture this trial	4399	blah_de_blah_de_blah	3	1330	bet_right	Nothing yet	1	1	0	3	13	1	0	0	2	13	Not fifth trial	blah	3333333	Not_first_trial	43896	39503	39516	40846	40865	41884	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	39497
90	0.96	0.48	1	1	31	31	3000	8000	1000	2000	2000	0	0	0	6	1066	1085	2103	Not shocked this trial	No picture this trial	4116	blah_de_blah_de_blah	4	1047	bet_right	Nothing yet	1	1	0	3	31	2	0	0	2	31	Not fifth trial	blah	3333333	Not_first_trial	50029	45919	45931	46979	46998	48016	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	45913
90	0.96	0.78	1	1	11	2	3000	8000	1000	2000	2000	2000	2000	4000	5	1000	1018	2036	8082	6072	12099	8083	5	982	bet_right	Nothing yet	1	1	0	2	2	3	0	0	2	2	0	blah	3333333	Not_first_trial	64145	52051	52064	53046	53064	54082	56095	58118	60128	60129	52046
90	0.24	0.72	1	0.2	40	7	3000	8000	1000	2000	2000	0	0	0	5	1166	1184	2203	Not shocked this trial	No picture this trial	4216	blah_de_blah_de_blah	6	1148	bet_right	Nothing yet	1	0	0	2	7	1	0	0	0	7	Not fifth trial	blah	3333333	Not_first_trial	70378	66167	66180	67328	67346	68365	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	66162
40	0.86	0.92	1	1	29	25	3000	8000	1000	2000	2000	0	0	0	7	4900	4918	5937	Not shocked this trial	No picture this trial	7949	blah_de_blah_de_blah	7	4881	bet_left	Nothing yet	1	1	0	1	29	2	0	0	0	29	Not fifth trial	blah	3333333	Not_first_trial	80343	72401	72413	77294	77312	78331	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	72394
40	0.88	0.48	1	1	54	132	3000	8000	1000	2000	2000	0	0	0	5	2666	2685	3703	Not shocked this trial	No picture this trial	5716	blah_de_blah_de_blah	8	2647	bet_left	Nothing yet	0	1	0	4	54	2	1	0	0	54	Not fifth trial	blah	3333333	Not_first_trial	88076	82365	82379	85026	85045	86063	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	82360
90	0.62	0.48	0.8	1	13	9	3000	8000	1000	2000	2000	0	0	0	5	1333	1352	2370	Not shocked this trial	No picture this trial	4383	blah_de_blah_de_blah	9	1315	bet_right	Nothing yet	1	1	0	1	9	3	1	0	0	9	Not fifth trial	blah	3333333	Not_first_trial	94476	90098	90111	91426	91445	92463	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	90093
90	0.36	0.66	1	0.02	45	21	3000	8000	1000	2000	2000	2000	2000	4000	4	1866	1884	2903	8948	6935	12965	8961	10	1848	bet_right	Nothing yet	1	0	1	1	21	4	1	0	0	21	7	blah	3333333	Not_first_trial	109458	96497	96511	98359	98377	99396	101409	103428	105441	105454	96493
