Scanner Trigger at times:	0	3000	6000	9000	12000	15000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 40	0.22	0.42	1	1	130	68	3000	8000	1000	2000	2000	0	0	0	10016	13248	13266	14283	Not shocked this trial	No picture this trial	16298	blah_de_blah_de_blah	1	3215	bet_left	Nothing yet	0	0	0	1	0	0	0	0	1	0	Not fifth trial	blah	3333333	15001	31298	25016	25032	28248	28266	29283	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
90	0.84	0.32	1	1	18	47	3000	8000	1000	2000	2000	0	0	0	2	1566	1584	2601	Not shocked this trial	No picture this trial	4616	blah_de_blah_de_blah	2	1549	bet_right	Nothing yet	1	1	0	3	47	1	0	0	1	47	Not fifth trial	blah	3333333	Not_first_trial	37931	33317	33332	34881	34899	35916	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	33315
90	0.92	0.64	1	0.2	80	97	3000	8000	1000	2000	2000	0	0	0	2	1833	1850	2868	Not shocked this trial	No picture this trial	4883	blah_de_blah_de_blah	3	1816	bet_right	Nothing yet	0	1	0	2	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	44831	39950	39965	41781	41798	42816	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	39948
40	0.36	0.92	1	0.06	98	90	3000	8000	1000	2000	2000	0	0	0	3	2400	2418	3435	Not shocked this trial	No picture this trial	5450	blah_de_blah_de_blah	4	2382	bet_left	Nothing yet	1	0	0	2	0	1	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	52297	46850	46865	49247	49265	50282	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	46847
40	0.32	0.9	0.8	1	85	70	3000	8000	1000	2000	2000	2000	2000	4000	2	900	917	1935	7983	5967	11999	7983	5	883	bet_left	Nothing yet	1	0	0	1	0	1	0	0	4	0	0	blah	3333333	Not_first_trial	66313	54316	54331	55214	55231	56249	58264	60281	62297	62297	54314
90	0.84	0.88	1	1	74	60	3000	8000	1000	2000	2000	0	0	0	2	2333	2350	3368	Not shocked this trial	No picture this trial	5383	blah_de_blah_de_blah	6	2316	bet_right	Nothing yet	0	1	0	1	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	73713	68332	68347	70663	70680	71698	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	68330
40	0.22	0.68	0.2	1	11	8	3000	8000	1000	2000	2000	0	0	0	2	1134	1151	2168	Not shocked this trial	No picture this trial	4184	blah_de_blah_de_blah	7	1116	bet_left	Nothing yet	1	1	0	4	11	1	0	0	1	11	Not fifth trial	blah	3333333	Not_first_trial	79913	75731	75747	76863	76880	77897	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	75729
90	0.64	0.38	1	0.2	60	81	3000	8000	1000	2000	2000	0	0	0	2	1433	1451	2468	Not shocked this trial	No picture this trial	4483	blah_de_blah_de_blah	8	1416	bet_right	Nothing yet	1	1	0	4	81	1	1	0	1	81	Not fifth trial	blah	3333333	Not_first_trial	86412	81931	81946	83362	83380	84397	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	81929
40	0.56	0.88	1	1	114	78	3000	8000	1000	2000	2000	0	0	0	2	2900	2917	3934	Not shocked this trial	No picture this trial	5950	blah_de_blah_de_blah	9	2883	bet_left	Nothing yet	1	0	0	5	0	1	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	94379	88431	88446	91329	91346	92364	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	88429
40	0.64	0.92	0.1	1	98	80	3000	8000	1000	2000	2000	2000	2000	4000	2	1400	1417	2435	8483	6467	12500	8483	10	1383	bet_left	Nothing yet	1	0	0	5	0	1	1	0	3	0	0	blah	3333333	Not_first_trial	108895	96397	96412	97795	97812	98830	100845	102862	104878	104878	96395
40	0.32	0.36	1	1	29	48	3000	8000	1000	2000	2000	0	0	0	3	1833	1851	2868	Not shocked this trial	No picture this trial	4883	blah_de_blah_de_blah	11	1816	bet_left	Nothing yet	0	0	0	4	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	115794	110914	110928	112744	112762	113779	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	110911
90	0.6	0.4	1	0.1	35	47	3000	8000	1000	2000	2000	0	0	0	2	1533	1550	2568	Not shocked this trial	No picture this trial	4583	blah_de_blah_de_blah	12	1516	bet_right	Nothing yet	1	1	0	3	47	1	0	0	1	47	Not fifth trial	blah	3333333	Not_first_trial	122394	117813	117828	119344	119361	120379	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	117811
40	0.9	0.44	1	0.02	20	25	3000	8000	1000	2000	2000	0	0	0	2	1466	1483	2501	Not shocked this trial	No picture this trial	4516	blah_de_blah_de_blah	13	1449	bet_left	Nothing yet	0	1	0	2	20	2	0	0	1	20	Not fifth trial	blah	3333333	Not_first_trial	128927	124413	124428	125877	125894	126912	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	124411
90	0.58	0.6	1	0.06	16	15	3000	8000	1000	2000	2000	0	0	0	2	1866	1883	2901	Not shocked this trial	No picture this trial	4916	blah_de_blah_de_blah	14	1849	bet_right	Nothing yet	1	1	0	3	15	3	0	0	1	15	Not fifth trial	blah	3333333	Not_first_trial	135860	130946	130961	132810	132827	133845	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	130944
40	0.28	0.62	1	1	106	44	3000	8000	1000	2000	2000	2000	2000	4000	2	1866	1884	2901	8949	6933	12966	8961	15	1849	bet_left	Nothing yet	1	0	1	2	0	3	0	0	2	0	47	blah	3333333	Not_first_trial	150843	137879	137894	139743	139761	140778	142793	144810	146826	146838	137877
40	0.74	0.9	1	1	4	15	3000	8000	1000	2000	2000	0	0	0	2	2333	2351	3368	Not shocked this trial	No picture this trial	5383	blah_de_blah_de_blah	16	2315	bet_left	Nothing yet	1	0	1	2	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	158242	152861	152876	155192	155210	156227	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	152859
90	0.48	0.24	1	1	11	14	3000	8000	1000	2000	2000	0	0	0	2	1633	1650	2668	Not shocked this trial	No picture this trial	4683	blah_de_blah_de_blah	17	1616	bet_right	Nothing yet	0	0	1	4	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	164942	160261	160276	161892	161909	162927	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	160259
40	0.76	0.92	1	0.1	8	12	3000	8000	1000	2000	2000	0	0	0	2	1933	1950	2968	Not shocked this trial	No picture this trial	4983	blah_de_blah_de_blah	18	1916	bet_left	Nothing yet	1	1	1	4	8	1	0	0	2	8	Not fifth trial	blah	3333333	Not_first_trial	171942	166961	166976	168892	168909	169927	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	166959
40	0.28	0.68	1	1	62	22	3000	8000	1000	2000	2000	0	0	0	2	833	851	1868	Not shocked this trial	No picture this trial	3883	blah_de_blah_de_blah	19	815	bet_left	Nothing yet	0	0	1	2	0	1	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	177841	173960	173976	174791	174809	175826	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	173958
90	0.96	0.52	0.8	1	63	60	3000	8000	1000	2000	2000	2000	2000	4000	2	1400	1417	2435	8483	6467	12499	8495	20	1383	bet_right	Nothing yet	1	1	1	3	60	1	1	0	3	60	8	blah	3333333	Not_first_trial	192357	179860	179875	181258	181275	182293	184308	186325	188341	188353	179858
40	0.76	0.8	1	1	39	75	3000	8000	1000	2000	2000	0	0	0	2	966	984	2001	Not shocked this trial	No picture this trial	4016	blah_de_blah_de_blah	21	949	bet_left	Nothing yet	0	0	1	4	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	198390	194376	194391	195340	195358	196375	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	194374
40	0.64	0.16	0.4	1	47	99	3000	8000	1000	2000	2000	0	0	0	2	1200	1217	2235	Not shocked this trial	No picture this trial	4250	blah_de_blah_de_blah	22	1183	bet_left	Nothing yet	0	0	1	5	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	204657	200409	200424	201607	201624	202642	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	200407
