Scanner Trigger at times:	0	3000	6000	9000	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
40	0.28	0.62	1	1	106	44	3000	8000	1000	2000	2000	2000	2000	4000	5	533	551	1570	7615	5601	11632	7616	15	515	bet_left	Nothing yet	1	0	0	3	0	2	0	0	3	0	0	blah	3333333	Not_first_trial	138722	127095	127108	127623	127641	128660	130672	132691	134705	134706	127090
40	0.74	0.9	1	1	4	15	3000	8000	1000	2000	2000	0	0	0	6	1667	1685	2704	Not shocked this trial	No picture this trial	4716	blah_de_blah_de_blah	16	1648	bet_left	Nothing yet	1	1	0	3	4	1	0	0	0	4	Not fifth trial	blah	3333333	Not_first_trial	145455	140744	140757	142405	142423	143442	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	140738
90	0.48	0.24	1	1	11	14	3000	8000	1000	2000	2000	0	0	0	5	1000	1019	2037	Not shocked this trial	No picture this trial	4050	blah_de_blah_de_blah	17	981	bet_right	Nothing yet	0	1	0	3	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	151521	147476	147490	148471	148490	149508	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	147471
40	0.76	0.92	1	0.1	8	12	3000	8000	1000	2000	2000	0	0	0	5	1933	1952	2970	Not shocked this trial	No picture this trial	4983	blah_de_blah_de_blah	18	1914	bet_left	Nothing yet	1	1	0	3	8	2	0	0	1	8	Not fifth trial	blah	3333333	Not_first_trial	158520	153542	153556	155470	155489	156507	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	153537
40	0.28	0.68	1	1	62	22	3000	8000	1000	2000	2000	0	0	0	5	999	1018	2036	Not shocked this trial	No picture this trial	4049	blah_de_blah_de_blah	19	981	bet_left	Nothing yet	1	0	0	2	0	2	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	164586	160542	160555	161537	161555	162573	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	160537
90	0.96	0.52	0.8	1	63	60	3000	8000	1000	2000	2000	2000	2000	4000	5	800	818	1836	7882	5868	11899	7895	20	782	bet_right	Nothing yet	0	1	1	1	0	2	0	0	3	0	4	blah	3333333	Not_first_trial	178502	166608	166621	167403	167421	168439	170452	172471	174485	174498	166603
40	0.76	0.8	1	1	39	75	3000	8000	1000	2000	2000	0	0	0	5	1532	1551	2569	Not shocked this trial	No picture this trial	4582	blah_de_blah_de_blah	21	1514	bet_left	Nothing yet	0	1	1	5	39	1	0	0	0	39	Not fifth trial	blah	3333333	Not_first_trial	185101	180524	180537	182051	182070	183088	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	180519
90	0.64	0.16	0.4	1	47	99	3000	8000	1000	2000	2000	0	0	0	6	1800	1818	2836	Not shocked this trial	No picture this trial	4849	blah_de_blah_de_blah	22	1781	bet_right	Nothing yet	0	0	1	5	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	191967	187124	187137	188918	188936	189954	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	187118
40	0.84	0.92	1	1	6	5	3000	8000	1000	2000	2000	0	0	0	5	2500	2518	3537	Not shocked this trial	No picture this trial	5549	blah_de_blah_de_blah	23	2481	bet_left	Nothing yet	1	1	1	2	6	2	0	0	1	6	Not fifth trial	blah	3333333	Not_first_trial	199533	193989	194003	196484	196502	197521	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	193984
90	0.5	0.48	1	0.8	38	45	3000	8000	1000	2000	2000	0	0	0	5	2266	2285	3303	Not shocked this trial	No picture this trial	5316	blah_de_blah_de_blah	24	2247	bet_right	Nothing yet	1	0	1	1	45	3	0	0	1	45	Not fifth trial	blah	3333333	Not_first_trial	206866	201555	201569	203816	203835	204853	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	201550
40	0.88	0.12	0.02	1	17	100	3000	8000	1000	2000	2000	2000	2000	4000	5	1100	1118	2136	8182	6169	12232	8219	25	1082	bet_left	Nothing yet	1	1	3	4	17	4	0	0	1	17	45	blah	3333333	Not_first_trial	221115	208888	208901	209983	210001	211019	213032	215052	217065	217102	208883
40	0.44	0.52	0.02	1	68	50	3000	8000	1000	2000	2000	0	0	0	5	833	851	1870	Not shocked this trial	No picture this trial	3883	blah_de_blah_de_blah	26	815	bet_left	Nothing yet	0	1	3	4	68	0	1	0	0	68	Not fifth trial	blah	3333333	Not_first_trial	227015	223137	223150	223965	223983	225002	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	223132
