Scanner Trigger at times:	0	3000	6000	9000	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.22	0.42	1	1	130	68	3000	8000	1000	2000	2000	0	0	0	10017	12664	12683	13700	Not shocked this trial	No picture this trial	15714	blah_de_blah_de_blah	1	2631	bet_right	Nothing yet	0	0	0	3	0	0	0	0	1	0	Not fifth trial	blah	3333333	15003	30714	25017	25033	27664	27683	28700	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
90	0.84	0.32	1	1	18	47	3000	8000	1000	2000	2000	0	0	0	5	1633	1651	2670	Not shocked this trial	No picture this trial	4682	blah_de_blah_de_blah	2	1615	bet_right	Nothing yet	0	1	0	3	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	37413	32736	32749	34364	34382	35401	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	32731
90	0.92	0.64	1	0.2	80	97	3000	8000	1000	2000	2000	0	0	0	6	3883	3902	4920	Not shocked this trial	No picture this trial	6933	blah_de_blah_de_blah	3	3864	bet_right	Nothing yet	1	1	0	3	97	0	1	0	2	97	Not fifth trial	blah	3333333	Not_first_trial	46363	39436	39449	43313	43332	44350	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	39430
90	0.36	0.92	1	0.06	98	90	3000	8000	1000	2000	2000	0	0	0	5	5432	5451	6469	Not shocked this trial	No picture this trial	8482	blah_de_blah_de_blah	4	5414	bet_right	Nothing yet	1	0	0	1	90	0	2	0	2	90	Not fifth trial	blah	3333333	Not_first_trial	56862	48385	48398	53812	53831	54849	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	48380
40	0.32	0.9	0.8	1	85	70	3000	8000	1000	2000	2000	2000	2000	4000	5	1533	1551	2570	8615	6602	12682	8664	5	1515	bet_left	Nothing yet	1	0	4	3	0	0	2	0	3	0	97	blah	3333333	Not_first_trial	71561	58884	58897	60412	60430	61449	63461	65481	67494	67544	58879
90	0.84	0.88	1	1	74	60	3000	8000	1000	2000	2000	0	0	0	5	2466	2484	3503	Not shocked this trial	No picture this trial	5516	blah_de_blah_de_blah	6	2448	bet_right	Nothing yet	1	1	4	4	60	0	1	0	0	60	Not fifth trial	blah	3333333	Not_first_trial	79094	73583	73596	76044	76062	77081	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	73578
40	0.22	0.68	0.2	1	11	8	3000	8000	1000	2000	2000	0	0	0	6	3233	3252	4270	Not shocked this trial	No picture this trial	6283	blah_de_blah_de_blah	7	3214	bet_left	Nothing yet	0	0	4	5	0	0	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	87393	81116	81129	84343	84362	85380	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	81110
90	0.64	0.38	1	0.2	60	81	3000	8000	1000	2000	2000	0	0	0	5	2799	2818	3836	Not shocked this trial	No picture this trial	5849	blah_de_blah_de_blah	8	2781	bet_right	Nothing yet	1	1	4	2	81	0	2	0	1	81	Not fifth trial	blah	3333333	Not_first_trial	95259	89415	89428	92209	92228	93246	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	89410
90	0.56	0.88	1	1	114	78	3000	8000	1000	2000	2000	0	0	0	5	1799	1818	2836	Not shocked this trial	No picture this trial	4849	blah_de_blah_de_blah	9	1781	bet_right	Nothing yet	0	1	4	3	0	0	2	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	102125	97281	97294	99075	99094	100112	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	97276
90	0.64	0.92	0.1	1	98	80	3000	8000	1000	2000	2000	2000	2000	4000	5	1899	1918	2936	8982	6969	13032	9031	10	1881	bet_right	Nothing yet	1	1	4	3	80	0	3	0	2	80	81	blah	3333333	Not_first_trial	117174	104147	104160	106041	106060	107078	109091	111111	113124	113173	104142
40	0.32	0.36	1	1	29	48	3000	8000	1000	2000	2000	0	0	0	6	2133	2151	3170	Not shocked this trial	No picture this trial	5182	blah_de_blah_de_blah	11	2115	bet_left	Nothing yet	1	0	4	3	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	124373	119197	119209	121324	121342	122361	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	119191
90	0.6	0.4	1	0.1	35	47	3000	8000	1000	2000	2000	0	0	0	6	2266	2285	3303	Not shocked this trial	No picture this trial	5316	blah_de_blah_de_blah	12	2247	bet_right	Nothing yet	1	1	4	4	47	1	0	0	1	47	Not fifth trial	blah	3333333	Not_first_trial	131706	126396	126409	128656	128675	129693	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	126390
90	0.9	0.44	1	0.02	20	25	3000	8000	1000	2000	2000	0	0	0	6	1866	1885	2903	Not shocked this trial	No picture this trial	4916	blah_de_blah_de_blah	13	1848	bet_right	Nothing yet	0	1	4	4	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	138639	133729	133741	135589	135608	136626	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	133723
90	0.58	0.6	1	0.06	16	15	3000	8000	1000	2000	2000	0	0	0	5	2599	2618	3636	Not shocked this trial	No picture this trial	5649	blah_de_blah_de_blah	14	2581	bet_right	Nothing yet	1	0	4	3	15	2	0	0	2	15	Not fifth trial	blah	3333333	Not_first_trial	146305	140661	140674	143255	143274	144292	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	140656
90	0.28	0.62	1	1	106	44	3000	8000	1000	2000	2000	2000	2000	4000	5	1999	2018	3036	9082	7068	13099	9083	15	1981	bet_right	Nothing yet	1	0	0	3	44	3	0	0	2	44	0	blah	3333333	Not_first_trial	161421	148327	148340	150321	150340	151359	153371	155390	157404	157405	148322
40	0.74	0.9	1	1	4	15	3000	8000	1000	2000	2000	0	0	0	5	2566	2585	3603	Not shocked this trial	No picture this trial	5616	blah_de_blah_de_blah	16	2548	bet_left	Nothing yet	1	0	0	3	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	169053	163442	163456	166004	166022	167041	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	163437
40	0.48	0.24	1	1	11	14	3000	8000	1000	2000	2000	0	0	0	5	2783	2802	3820	Not shocked this trial	No picture this trial	5833	blah_de_blah_de_blah	17	2764	bet_left	Nothing yet	0	1	0	4	11	1	0	0	1	11	Not fifth trial	blah	3333333	Not_first_trial	176903	171075	171089	173853	173872	174890	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	171070
