Scanner Trigger at times:	0	3000	6000	9000	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.28	0.36	1	0.02	100	74	3000	8000	1000	2000	2000	0	0	0	10016	11781	11799	12818	Not shocked this trial	No picture this trial	14831	blah_de_blah_de_blah	1	1748	bet_right	Nothing yet	1	0	0	4	74	0	1	0	0	74	Not fifth trial	blah	3333333	15004	29831	25016	25033	26781	26799	27818	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.28	0.4	1	1	11	16	3000	8000	1000	2000	2000	0	0	0	6	1833	1852	2870	Not shocked this trial	No picture this trial	4883	blah_de_blah_de_blah	2	1814	bet_left	Nothing yet	1	0	0	1	0	0	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	36730	31853	31866	33680	33699	34717	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	31847
90	0.48	0.4	1	1	63	13	3000	8000	1000	2000	2000	0	0	0	6	1833	1851	2870	Not shocked this trial	No picture this trial	4882	blah_de_blah_de_blah	3	1815	bet_right	Nothing yet	0	1	0	3	0	0	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	43629	38753	38765	40580	40598	41617	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	38747
90	0.96	0.48	1	1	31	31	3000	8000	1000	2000	2000	0	0	0	6	1200	1218	2237	Not shocked this trial	No picture this trial	4250	blah_de_blah_de_blah	4	1181	bet_right	Nothing yet	0	0	0	5	0	0	1	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	49896	45652	45665	46846	46865	47883	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	45646
90	0.96	0.78	1	1	11	2	3000	8000	1000	2000	2000	2000	2000	4000	6	1467	1485	2503	8549	6539	12566	8550	5	1448	bet_right	Nothing yet	1	1	0	3	2	1	1	0	3	2	0	blah	3333333	Not_first_trial	64478	51918	51931	53379	53397	54415	56428	58451	60461	60462	51912
90	0.24	0.72	1	0.2	40	7	3000	8000	1000	2000	2000	0	0	0	5	1499	1518	2536	Not shocked this trial	No picture this trial	4549	blah_de_blah_de_blah	6	1481	bet_right	Nothing yet	1	0	0	2	7	1	0	0	0	7	Not fifth trial	blah	3333333	Not_first_trial	71044	66500	66513	67994	68013	69031	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	66495
90	0.86	0.92	1	1	29	25	3000	8000	1000	2000	2000	0	0	0	6	2166	2184	3203	Not shocked this trial	No picture this trial	5216	blah_de_blah_de_blah	7	2148	bet_right	Nothing yet	1	1	0	4	25	2	0	0	0	25	Not fifth trial	blah	3333333	Not_first_trial	78277	73067	73079	75227	75246	76264	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	73061
40	0.88	0.48	1	1	54	132	3000	8000	1000	2000	2000	0	0	0	5	3666	3685	4703	Not shocked this trial	No picture this trial	6716	blah_de_blah_de_blah	8	3647	bet_left	Nothing yet	0	1	0	1	54	2	1	0	0	54	Not fifth trial	blah	3333333	Not_first_trial	87009	80298	80312	83959	83978	84996	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	80293
90	0.62	0.48	0.8	1	13	9	3000	8000	1000	2000	2000	0	0	0	5	1500	1518	2537	Not shocked this trial	No picture this trial	4549	blah_de_blah_de_blah	9	1481	bet_right	Nothing yet	0	0	0	1	0	2	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	93575	89031	89045	90526	90544	91563	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	89026
90	0.36	0.66	1	0.02	45	21	3000	8000	1000	2000	2000	2000	2000	4000	5	1366	1385	2403	8449	6435	12466	8450	10	1347	bet_right	Nothing yet	0	0	0	5	0	2	1	0	2	0	0	blah	3333333	Not_first_trial	108058	95597	95611	96958	96977	97995	100008	102027	104041	104042	95592
40	0.3	0.5	1	0.8	39	42	3000	8000	1000	2000	2000	0	0	0	5	2165	2184	3202	Not shocked this trial	No picture this trial	5215	blah_de_blah_de_blah	11	2147	bet_left	Nothing yet	1	0	0	3	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	115290	110080	110093	112240	112259	113278	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	110075
90	0.74	0.38	1	1	28	40	3000	8000	1000	2000	2000	0	0	0	6	1833	1852	2870	Not shocked this trial	No picture this trial	4883	blah_de_blah_de_blah	12	1814	bet_right	Nothing yet	1	0	0	4	40	1	0	0	1	40	Not fifth trial	blah	3333333	Not_first_trial	122190	117313	117326	119140	119159	120177	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	117307
40	0.04	0.48	1	1	125	63	3000	8000	1000	2000	2000	0	0	0	5	1266	1285	2303	Not shocked this trial	No picture this trial	4316	blah_de_blah_de_blah	13	1248	bet_left	Nothing yet	0	0	0	3	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	128523	124212	124225	125473	125492	126510	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	124207
