Scanner Trigger at times:	0	3000	6000	9000	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 40	0.56	0.68	1	1	9	22	3000	8000	1000	2000	2000	0	0	0	10016	13015	13032	14049	Not shocked this trial	No picture this trial	16065	blah_de_blah_de_blah	1	2983	bet_left	Nothing yet	1	1	0	1	9	1	0	0	0	9	Not fifth trial	blah	3333333	15001	31065	25016	25032	28015	28032	29049	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
90	0.88	0.16	1	0.02	60	94	3000	8000	1000	2000	2000	0	0	0	2	1833	1851	2868	Not shocked this trial	No picture this trial	4883	blah_de_blah_de_blah	2	1816	bet_right	Nothing yet	0	1	0	4	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	37964	33083	33098	34914	34932	35949	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	33081
90	0.36	0.28	0.06	1	100	84	3000	8000	1000	2000	2000	0	0	0	2	1966	1984	3001	Not shocked this trial	No picture this trial	5016	blah_de_blah_de_blah	3	1949	bet_right	Nothing yet	0	1	0	3	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	44997	39983	39998	41947	41965	42982	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	39981
90	0.6	0.34	1	0.4	54	74	3000	8000	1000	2000	2000	0	0	0	2	1700	1717	2734	Not shocked this trial	No picture this trial	4749	blah_de_blah_de_blah	4	1683	bet_right	Nothing yet	0	1	0	4	0	1	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	51763	47016	47031	48714	48731	49748	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	47014
40	0.76	0.56	1	1	77	118	3000	8000	1000	2000	2000	2000	2000	4000	2	3766	3784	4801	10849	8834	14866	10850	5	3749	bet_left	Nothing yet	0	0	0	5	0	1	0	0	4	0	0	blah	3333333	Not_first_trial	68646	53782	53797	57546	57564	58581	60596	62614	64629	64630	53780
40	0.64	0.52	1	0.4	94	100	3000	8000	1000	2000	2000	0	0	0	3	2734	2751	3768	Not shocked this trial	No picture this trial	5783	blah_de_blah_de_blah	6	2716	bet_left	Nothing yet	0	1	0	3	94	0	1	0	0	94	Not fifth trial	blah	3333333	Not_first_trial	76445	70665	70680	73396	73413	74430	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	70662
40	0.62	0.48	0.02	1	13	9	3000	8000	1000	2000	2000	0	0	0	2	1800	1817	2834	Not shocked this trial	No picture this trial	4850	blah_de_blah_de_blah	7	1783	bet_left	Nothing yet	0	1	0	1	13	1	1	0	0	13	Not fifth trial	blah	3333333	Not_first_trial	83312	78464	78479	80262	80279	81297	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	78462
40	0.75	0.8	1	0.8	70	80	3000	8000	1000	2000	2000	0	0	0	2	3233	3251	4268	Not shocked this trial	No picture this trial	6283	blah_de_blah_de_blah	8	3215	bet_left	Nothing yet	1	1	0	2	70	1	2	0	0	70	Not fifth trial	blah	3333333	Not_first_trial	91611	85330	85346	88561	88579	89596	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	85328
90	0.72	0.06	1	1	12	134	3000	8000	1000	2000	2000	0	0	0	2	1400	1417	2435	Not shocked this trial	No picture this trial	4450	blah_de_blah_de_blah	9	1383	bet_right	Nothing yet	0	0	0	1	0	1	2	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	98078	93630	93645	95028	95045	96063	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	93628
40	0.92	0.76	1	0.4	74	78	3000	8000	1000	2000	2000	2000	2000	4000	2	2233	2251	3268	9316	7301	13499	9497	10	2216	bet_left	Nothing yet	1	1	15	5	74	1	3	0	1	74	74	blah	3333333	Not_first_trial	113593	100096	100111	102327	102345	103362	105377	107395	109410	109591	100094
