Scanner Trigger at times:	0	3000	6000	9000	12000	15000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.28	0.36	1	0.02	100	74	3000	8000	1000	2000	2000	0	0	0	10015	12281	12299	13315	Not shocked this trial	No picture this trial	15331	blah_de_blah_de_blah	1	2249	bet_right	Nothing yet	0	0	0	2	0	0	0	0	1	0	Not fifth trial	blah	3333333	15001	30331	25015	25032	27281	27299	28315	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.28	0.4	1	1	11	16	3000	8000	1000	2000	2000	0	0	0	2	2433	2450	3468	Not shocked this trial	No picture this trial	5483	blah_de_blah_de_blah	2	2416	bet_left	Nothing yet	0	0	0	1	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	37831	32350	32365	34781	34798	35816	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	32348
90	0.48	0.4	1	1	63	13	3000	8000	1000	2000	2000	0	0	0	3	2167	2184	3202	Not shocked this trial	No picture this trial	5216	blah_de_blah_de_blah	3	2150	bet_right	Nothing yet	0	1	0	1	0	0	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	45063	39850	39864	42014	42031	43049	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	39847
90	0.96	0.48	1	1	31	31	3000	8000	1000	2000	2000	0	0	0	3	2133	2150	3168	Not shocked this trial	No picture this trial	5183	blah_de_blah_de_blah	4	2116	bet_right	Nothing yet	1	1	0	4	31	1	0	0	3	31	Not fifth trial	blah	3333333	Not_first_trial	52263	47083	47097	49213	49230	50248	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	47080
90	0.96	0.78	1	1	11	2	3000	8000	1000	2000	2000	2000	2000	4000	2	2366	2383	3401	9449	7434	13465	9449	5	2349	bet_right	Nothing yet	0	1	0	5	0	1	0	0	4	0	0	blah	3333333	Not_first_trial	67745	54282	54297	56646	56663	57681	59696	61714	63729	63729	54280
40	0.24	0.72	1	0.2	40	7	3000	8000	1000	2000	2000	0	0	0	2	1733	1750	2768	Not shocked this trial	No picture this trial	4783	blah_de_blah_de_blah	6	1716	bet_left	Nothing yet	1	0	0	2	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	74545	69764	69779	71495	71512	72530	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	69762
90	0.86	0.92	1	1	29	25	3000	8000	1000	2000	2000	0	0	0	3	1900	1918	2935	Not shocked this trial	No picture this trial	4950	blah_de_blah_de_blah	7	1882	bet_right	Nothing yet	1	0	0	1	25	1	0	0	1	25	Not fifth trial	blah	3333333	Not_first_trial	81511	76564	76579	78461	78479	79496	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	76561
40	0.88	0.48	1	1	54	132	3000	8000	1000	2000	2000	0	0	0	2	3133	3150	4168	Not shocked this trial	No picture this trial	6183	blah_de_blah_de_blah	8	3116	bet_left	Nothing yet	1	1	0	3	54	1	1	0	1	54	Not fifth trial	blah	3333333	Not_first_trial	89711	83530	83545	86661	86678	87696	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	83528
90	0.62	0.48	0.8	1	13	9	3000	8000	1000	2000	2000	0	0	0	2	1700	1717	2735	Not shocked this trial	No picture this trial	4750	blah_de_blah_de_blah	9	1683	bet_right	Nothing yet	0	0	0	5	0	1	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	96477	91729	91744	93427	93444	94462	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	91727
90	0.36	0.66	1	0.02	45	21	3000	8000	1000	2000	2000	2000	2000	4000	3	2833	2851	3868	9916	7901	13983	9977	10	2815	bet_right	Nothing yet	1	0	5	2	21	2	1	0	2	21	25	blah	3333333	Not_first_trial	112476	98496	98511	101326	101344	102361	104376	106394	108409	108470	98493
