Scanner Trigger at times:	0	3000	6000	9000	12000	15000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.28	0.36	1	0.02	100	74	3000	8000	1000	2000	2000	0	0	0	10013	12313	12330	13347	Not shocked this trial	No picture this trial	15362	blah_de_blah_de_blah	1	2283	bet_right	Nothing yet	0	0	0	5	0	0	0	0	1	0	Not fifth trial	blah	3333333	15001	30362	25013	25030	27313	27330	28347	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
40	0.28	0.4	1	1	11	16	3000	8000	1000	2000	2000	0	0	0	1	2066	2083	3100	Not shocked this trial	No picture this trial	5116	blah_de_blah_de_blah	2	2049	bet_left	Nothing yet	0	0	0	1	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	37495	32380	32396	34445	34462	35479	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	32379
90	0.48	0.4	1	1	63	13	3000	8000	1000	2000	2000	0	0	0	2	2300	2317	3334	Not shocked this trial	No picture this trial	5349	blah_de_blah_de_blah	3	2283	bet_right	Nothing yet	1	0	0	2	13	1	0	0	2	13	Not fifth trial	blah	3333333	Not_first_trial	44861	39513	39528	41811	41828	42845	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	39511
90	0.96	0.48	1	1	31	31	3000	8000	1000	2000	2000	0	0	0	1	2100	2117	3134	Not shocked this trial	No picture this trial	5149	blah_de_blah_de_blah	4	2083	bet_right	Nothing yet	0	1	0	3	0	1	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	52026	46878	46894	48977	48994	50011	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	46877
90	0.96	0.78	1	1	11	2	3000	8000	1000	2000	2000	2000	2000	4000	1	1266	1283	2300	8349	6334	12365	8349	5	1249	bet_right	Nothing yet	1	1	0	1	2	2	0	0	3	2	0	blah	3333333	Not_first_trial	66408	54044	54060	55309	55326	56343	58359	60377	62392	62392	54043
90	0.24	0.72	1	0.2	40	7	3000	8000	1000	2000	2000	0	0	0	2	2467	2484	3501	Not shocked this trial	No picture this trial	5516	blah_de_blah_de_blah	6	2450	bet_right	Nothing yet	0	0	0	2	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	73940	68426	68441	70891	70908	71925	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	68424
40	0.86	0.92	1	1	29	25	3000	8000	1000	2000	2000	0	0	0	1	3733	3750	4767	Not shocked this trial	No picture this trial	6782	blah_de_blah_de_blah	7	3716	bet_left	Nothing yet	1	1	0	5	29	1	0	0	1	29	Not fifth trial	blah	3333333	Not_first_trial	82739	75958	75974	79690	79707	80724	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	75957
90	0.88	0.48	1	1	54	132	3000	8000	1000	2000	2000	0	0	0	1	1966	1983	3000	Not shocked this trial	No picture this trial	5016	blah_de_blah_de_blah	8	1949	bet_right	Nothing yet	1	1	0	5	132	1	0	1	1	132	Not fifth trial	blah	3333333	Not_first_trial	89772	84757	84773	86722	86739	87756	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	84756
90	0.62	0.48	0.8	1	13	9	3000	8000	1000	2000	2000	0	0	0	1	2033	2050	3067	Not shocked this trial	No picture this trial	5083	blah_de_blah_de_blah	9	2016	bet_right	Nothing yet	1	1	0	4	9	2	0	1	1	9	Not fifth trial	blah	3333333	Not_first_trial	96871	91789	91805	93821	93838	94855	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	91788
90	0.36	0.66	1	0.02	45	21	3000	8000	1000	2000	2000	2000	2000	4000	2	1967	1984	3001	9049	7033	13065	9049	10	1950	bet_right	Nothing yet	0	0	0	1	0	2	0	1	2	0	0	blah	3333333	Not_first_trial	111952	98889	98904	100854	100871	101888	103903	105921	107936	107936	98887
