Scanner Trigger at times:	0	3000	6000	9000	12000	15000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.22	0.42	1	1	130	68	3000	8000	1000	2000	2000	0	0	0	10014	11280	11297	12314	Not shocked this trial	No picture this trial	14330	blah_de_blah_de_blah	1	1249	bet_right	Nothing yet	0	0	0	1	0	0	0	0	1	0	Not fifth trial	blah	3333333	15001	29330	25014	25031	26280	26297	27314	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
90	0.84	0.32	1	1	18	47	3000	8000	1000	2000	2000	0	0	0	1	767	784	1801	Not shocked this trial	No picture this trial	3816	blah_de_blah_de_blah	2	750	bet_right	Nothing yet	1	1	0	5	47	1	0	0	1	47	Not fifth trial	blah	3333333	Not_first_trial	35162	31347	31363	32113	32130	33147	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	31346
90	0.92	0.64	1	0.2	80	97	3000	8000	1000	2000	2000	0	0	0	1	933	950	1967	Not shocked this trial	No picture this trial	3983	blah_de_blah_de_blah	3	916	bet_right	Nothing yet	1	1	0	3	97	1	1	0	1	97	Not fifth trial	blah	3333333	Not_first_trial	41162	37180	37196	38112	38129	39146	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	37179
40	0.36	0.92	1	0.06	98	90	3000	8000	1000	2000	2000	0	0	0	1	1000	1017	2034	Not shocked this trial	No picture this trial	4050	blah_de_blah_de_blah	4	983	bet_left	Nothing yet	1	1	0	1	98	1	2	0	1	98	Not fifth trial	blah	3333333	Not_first_trial	47228	43179	43195	44178	44195	45212	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	43178
40	0.32	0.9	0.8	1	85	70	3000	8000	1000	2000	2000	2000	2000	4000	1	1533	1550	2567	8616	6600	12715	8712	5	1516	bet_left	Nothing yet	1	0	8	2	0	1	2	0	2	0	47	blah	3333333	Not_first_trial	61959	49245	49261	50777	50794	51811	53827	55844	57860	57956	49244
90	0.84	0.88	1	1	74	60	3000	8000	1000	2000	2000	0	0	0	1	1966	1983	3000	Not shocked this trial	No picture this trial	5016	blah_de_blah_de_blah	6	1949	bet_right	Nothing yet	0	1	8	2	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	68992	63977	63993	65942	65959	66976	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	63976
40	0.22	0.68	0.2	1	11	8	3000	8000	1000	2000	2000	0	0	0	2	967	984	2001	Not shocked this trial	No picture this trial	4017	blah_de_blah_de_blah	7	950	bet_left	Nothing yet	1	1	8	5	11	1	0	0	1	11	Not fifth trial	blah	3333333	Not_first_trial	75025	71010	71025	71975	71992	73009	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	71008
90	0.64	0.38	1	0.2	60	81	3000	8000	1000	2000	2000	0	0	0	1	767	784	1801	Not shocked this trial	No picture this trial	3816	blah_de_blah_de_blah	8	750	bet_right	Nothing yet	1	1	8	1	81	1	1	0	1	81	Not fifth trial	blah	3333333	Not_first_trial	80857	77042	77058	77808	77825	78842	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	77041
40	0.56	0.88	1	1	114	78	3000	8000	1000	2000	2000	0	0	0	1	1400	1417	2434	Not shocked this trial	No picture this trial	4449	blah_de_blah_de_blah	9	1383	bet_left	Nothing yet	1	0	8	1	0	1	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	87323	82875	82891	84274	84291	85308	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	82874
90	0.64	0.92	0.1	1	98	80	3000	8000	1000	2000	2000	2000	2000	4000	1	1899	1917	2933	8982	6967	12998	8982	10	1882	bet_right	Nothing yet	1	1	0	1	80	1	2	0	2	80	0	blah	3333333	Not_first_trial	102338	89341	89357	91239	91257	92273	94289	96307	98322	98322	89340
40	0.32	0.36	1	1	29	48	3000	8000	1000	2000	2000	0	0	0	1	2233	2250	3267	Not shocked this trial	No picture this trial	5282	blah_de_blah_de_blah	11	2216	bet_left	Nothing yet	0	0	0	4	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	109637	104356	104372	106588	106605	107622	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	104355
90	0.6	0.4	1	0.1	35	47	3000	8000	1000	2000	2000	0	0	0	1	900	917	1934	Not shocked this trial	No picture this trial	3949	blah_de_blah_de_blah	12	883	bet_right	Nothing yet	0	1	0	4	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	115603	111655	111671	112554	112571	113588	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	111654
90	0.9	0.44	1	0.02	20	25	3000	8000	1000	2000	2000	0	0	0	1	1033	1050	2067	Not shocked this trial	No picture this trial	4083	blah_de_blah_de_blah	13	1016	bet_right	Nothing yet	0	1	0	4	0	0	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	121703	117621	117637	118653	118670	119687	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	117620
90	0.58	0.6	1	0.06	16	15	3000	8000	1000	2000	2000	0	0	0	2	1233	1251	2267	Not shocked this trial	No picture this trial	4283	blah_de_blah_de_blah	14	1216	bet_right	Nothing yet	1	1	0	3	15	1	0	0	3	15	Not fifth trial	blah	3333333	Not_first_trial	128002	123721	123736	124952	124970	125986	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	123719
40	0.28	0.62	1	1	106	44	3000	8000	1000	2000	2000	2000	2000	4000	1	866	883	1900	7949	5933	12015	8009	15	849	bet_left	Nothing yet	1	0	5	4	0	1	0	0	4	0	15	blah	3333333	Not_first_trial	142034	130020	130036	130885	130902	131919	133935	135952	137968	138028	130019
40	0.74	0.9	1	1	4	15	3000	8000	1000	2000	2000	0	0	0	1	1299	1316	2333	Not shocked this trial	No picture this trial	4349	blah_de_blah_de_blah	16	1282	bet_left	Nothing yet	1	1	5	5	4	1	0	0	0	4	Not fifth trial	blah	3333333	Not_first_trial	148400	144052	144068	145350	145367	146384	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	144051
90	0.48	0.24	1	1	11	14	3000	8000	1000	2000	2000	0	0	0	2	867	884	1901	Not shocked this trial	No picture this trial	3917	blah_de_blah_de_blah	17	849	bet_right	Nothing yet	0	0	5	2	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	154333	150418	150434	151283	151300	152317	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	150416
40	0.76	0.92	1	0.1	8	12	3000	8000	1000	2000	2000	0	0	0	1	1167	1184	2201	Not shocked this trial	No picture this trial	4216	blah_de_blah_de_blah	18	1150	bet_left	Nothing yet	1	1	5	3	8	2	0	0	1	8	Not fifth trial	blah	3333333	Not_first_trial	160565	156350	156366	157516	157533	158550	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	156349
40	0.28	0.68	1	1	62	22	3000	8000	1000	2000	2000	0	0	0	1	1000	1017	2034	Not shocked this trial	No picture this trial	4049	blah_de_blah_de_blah	19	983	bet_left	Nothing yet	1	0	5	1	0	2	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	166631	162583	162599	163582	163599	164616	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	162582
