Scanner Trigger at times:	0	3000	6000	9000	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 40	0.56	0.68	1	1	9	22	3000	8000	1000	2000	2000	0	0	0	10017	11281	11300	12317	Not shocked this trial	No picture this trial	14331	blah_de_blah_de_blah	1	1248	bet_left	Nothing yet	1	0	0	1	0	0	0	0	1	0	Not fifth trial	blah	3333333	15002	29331	25017	25033	26281	26300	27317	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	15000
90	0.88	0.16	1	0.02	60	94	3000	8000	1000	2000	2000	0	0	0	5	650	668	1686	Not shocked this trial	No picture this trial	3699	blah_de_blah_de_blah	2	615	bet_right	Nothing yet	0	1	0	1	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	35047	31353	31383	31998	32016	33034	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	31348
40	0.36	0.28	0.06	1	100	84	3000	8000	1000	2000	2000	0	0	0	5	1450	1468	2487	Not shocked this trial	No picture this trial	4500	blah_de_blah_de_blah	3	1415	bet_left	Nothing yet	1	0	0	1	0	0	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	41564	37069	37099	38514	38532	39551	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	37064
90	0.6	0.34	1	0.4	54	74	3000	8000	1000	2000	2000	0	0	0	6	1200	1219	2237	Not shocked this trial	No picture this trial	4250	blah_de_blah_de_blah	4	1181	bet_right	Nothing yet	0	1	0	5	0	0	0	0	4	0	Not fifth trial	blah	3333333	Not_first_trial	47830	43586	43599	44780	44799	45817	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	43580
90	0.76	0.56	1	1	77	118	3000	8000	1000	2000	2000	2000	2000	4000	5	1566	1585	2603	8649	6635	12665	8650	5	1548	bet_right	Nothing yet	0	1	0	3	0	0	0	0	5	0	0	blah	3333333	Not_first_trial	62512	49852	49865	51413	51432	52450	54463	56482	58496	58497	49847
40	0.64	0.52	1	0.4	94	100	3000	8000	1000	2000	2000	0	0	0	6	2033	2052	3070	Not shocked this trial	No picture this trial	5083	blah_de_blah_de_blah	6	2014	bet_left	Nothing yet	1	0	0	1	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	69612	64535	64548	66562	66581	67599	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	64529
40	0.62	0.48	0.02	1	13	9	3000	8000	1000	2000	2000	0	0	0	4	1433	1451	2469	Not shocked this trial	No picture this trial	4482	blah_de_blah_de_blah	7	1415	bet_left	Nothing yet	1	0	0	5	0	0	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	76111	71633	71647	73062	73080	74098	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	71629
40	0.75	0.8	1	0.8	70	80	3000	8000	1000	2000	2000	0	0	0	5	2533	2552	3570	Not shocked this trial	No picture this trial	5583	blah_de_blah_de_blah	8	2514	bet_left	Nothing yet	0	1	0	3	70	0	1	0	2	70	Not fifth trial	blah	3333333	Not_first_trial	83711	78133	78147	80661	80680	81698	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	78128
90	0.72	0.06	1	1	12	134	3000	8000	1000	2000	2000	0	0	0	5	866	885	1903	Not shocked this trial	No picture this trial	3916	blah_de_blah_de_blah	9	848	bet_right	Nothing yet	0	1	0	3	0	0	1	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	89644	85733	85746	86594	86613	87631	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	85728
90	0.92	0.76	1	0.4	74	78	3000	8000	1000	2000	2000	2000	2000	4000	5	1599	1618	2636	8682	6669	12765	8755	10	1581	bet_right	Nothing yet	1	1	6	5	78	0	2	0	3	78	78	blah	3333333	Not_first_trial	104426	91666	91679	93260	93279	94297	96310	98330	100343	100416	91661
40	0.44	0.72	1	1	11	42	3000	8000	1000	2000	2000	0	0	0	5	1365	1384	2402	Not shocked this trial	No picture this trial	4415	blah_de_blah_de_blah	11	1347	bet_left	Nothing yet	1	1	6	3	11	1	0	0	0	11	Not fifth trial	blah	3333333	Not_first_trial	110859	106449	106462	107809	107828	108846	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	106444
40	0.44	0.9	0.06	1	25	16	3000	8000	1000	2000	2000	0	0	0	6	1133	1152	2170	Not shocked this trial	No picture this trial	4183	blah_de_blah_de_blah	12	1115	bet_left	Nothing yet	1	1	6	5	25	2	0	0	0	25	Not fifth trial	blah	3333333	Not_first_trial	117059	112882	112894	114009	114028	115046	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	112876
90	0.58	0.58	1	1	15	17	3000	8000	1000	2000	2000	0	0	0	5	1299	1318	2336	Not shocked this trial	No picture this trial	4349	blah_de_blah_de_blah	13	1281	bet_right	Nothing yet	1	0	6	2	17	3	0	0	0	17	Not fifth trial	blah	3333333	Not_first_trial	123425	119081	119094	120375	120394	121412	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	119076
