Scenario - subjective stimulus intensity
Logfile written - 09/20/2017 12:52:28

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

vp06	1	Picture	present_text	-9833	0	1	39328	2	0	next	false_alarm	2
vp06	1	Response	3	29405	39238	1
vp06	2	Picture	VAS	29495	0	1	1166	3	0	next	other	0
vp06	3	Picture	VAS	30661	0	2	1167	3	0	next	other	0
vp06	4	Picture	VAS	31828	0	1	1166	3	0	next	other	0
vp06	5	Picture	VAS	32994	0	2	1167	3	0	next	other	0
vp06	6	Picture	VAS	34161	0	1	1167	2	0	next	other	0
vp06	7	Picture	VAS	35328	0	1	1166	2	0	next	other	0
vp06	8	Picture	VAS	36494	0	1	1167	2	0	next	other	0
vp06	9	Picture	VAS	37661	0	1	1166	2	0	next	other	0
vp06	10	Picture	VAS	38827	0	1	1167	2	0	next	other	0
vp06	11	Picture	VAS	39994	0	1	1166	2	0	next	other	0
vp06	12	Picture	VAS	41160	0	1	1167	2	0	next	other	0
vp06	13	Picture	VAS	42327	0	1	1166	2	0	next	other	0
vp06	14	Picture	VAS	43493	0	1	1167	2	0	next	other	0
vp06	15	Picture	VAS	44660	0	1	1166	2	0	next	other	0
vp06	16	Picture	VAS	45826	0	1	1167	2	0	next	other	0
vp06	17	Picture	VAS	46993	0	1	1166	3	0	next	other	0
vp06	18	Picture	VAS	48159	0	2	1167	3	0	next	other	0
vp06	19	Picture	VAS	49326	0	1	1166	3	0	next	other	0
vp06	20	Picture	VAS	50492	0	2	1167	3	0	next	other	0
vp06	21	Picture	VAS	51659	0	1	1167	2	0	next	other	0
vp06	22	Picture	VAS	52826	0	1	1166	2	0	next	other	0
vp06	23	Picture	VAS	53992	0	1	1167	2	0	next	other	0
vp06	24	Picture	VAS	55159	0	1	1166	2	0	next	other	0
vp06	25	Picture	VAS	56325	0	1	1167	2	0	next	other	0
vp06	26	Picture	VAS	57492	0	1	1166	2	0	next	other	0
vp06	27	Picture	VAS	58658	0	1	1167	2	0	next	other	0
vp06	28	Picture	VAS	59825	0	1	1166	2	0	next	other	0
vp06	29	Picture	VAS	60991	0	1	1167	2	0	next	other	0
vp06	30	Picture	VAS	62158	0	1	1166	2	0	next	other	0
vp06	31	Picture	VAS	63324	0	1	1167	2	0	next	other	0
