,id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number,est_left_over_right,whensaved
128,166198,vp12,0,2017-10-06 17:47:01,1507312015476,X,3436,1000,0.83999999999999997,0.23999999999999999,left,1.0,1.0,inperson,0,0,kCB2,0,36.0,21.0,36,false,combined,9,37,41,13,0,,
129,166199,vp12,1,2017-10-06 17:47:08,1507312023922,O,2081,1000, 0.76000000000000001, 0.64000000000000001,right, 1.0, 1.0,inperson,0,0,kCB2,0, 78.0, 101.0,0,false,combined,13,17,37,33,0,,
130,166200,vp12,2,2017-10-06 17:47:14,1507312031013,O,803,1000, 0.66000000000000003, 0.35999999999999999,left, 1.0, 0.80000000000000004,inperson,0,0,kCB2,0, 21.0, 68.0,0,false,combined,18,25,32,15,0,,
131,166201,vp12,3,2017-10-06 17:47:20,1507312036825,X,977,1000, 0.76000000000000001, 0.92000000000000004,right, 0.10000000000000001, 1.0,inperson,0,0,kCB2,0, 8.0, 12.0,12,false,combined,1,4,4,46,0,,
132,166202,vp12,4,2017-10-06 17:47:26,1507312042814,X,1645,1000, 0.88, 0.38,left, 1.0, 1.0,inperson,0,0,kCB2,0, 7.0, 20.0,7,false,combined,6,31,44,19,0,,
133,166203,vp12,5,2017-10-06 17:47:40,1507312055482,X,2192,1000, 0.73999999999999999, 0.40000000000000002,right, 1.0, 1.0,inperson,0,0,kCB2,0, -16.0, -38.0,-38,false,combined,13,30,37,20,0,,
134,166204,vp12,6,2017-10-06 17:47:48,1507312062687,X,3183,1000, 0.64000000000000001, 0.92000000000000004,left, 1.0, 0.02,inperson,0,0,kCB2,0, -97.0, -70.0,-97,false,combined,19,0,31,1,0,,
135,166205,vp12,7,2017-10-06 17:47:56,1507312070879,X,2773,1000, 0.41999999999999998, 0.26000000000000001,left, 1.0, 0.40000000000000002,inperson,0,0,kCB2,0, -33.0, -60.0,-33,false,combined,28,17,22,3,0,,
136,166206,vp12,8,2017-10-06 17:48:02,1507312078661,O,1291,1000, 0.95999999999999996, 0.59999999999999998,right, 1.0, 1.0,inperson,0,0,kCB2,0, -5.0, -25.0,0,false,combined,3,20,47,30,0,,
137,166207,vp12,9,2017-10-06 17:48:09,1507312084962,O,2572,1000, 0.40000000000000002, 0.80000000000000004,left, 0.10000000000000001, 1.0,inperson,0,0,kCB2,0, -87.0, -55.0,0,false,combined,4,10,1,40,0,,
138,166208,vp12,10,2017-10-06 17:48:23,1507312098551,O,2614,967, 0.47999999999999998, 0.40000000000000002,right, 1.0, 1.0,inperson,0,0,kCB2,-33, -63.0, -13.0,0,false,combined,25,30,25,20,0,,
139,166209,vp12,11,2017-10-06 17:48:29,1507312106173,O,1122,967, 0.71999999999999997, 0.059999999999999998,right, 1.0, 1.0,inperson,0,0,kCB2,-33, -12.0, -134.0,0,false,combined,14,46,36,4,0,,
140,166210,vp12,12,2017-10-06 17:48:36,1507312112305,O,1476,967, 0.44, 0.52000000000000002,left, 1.0, 0.02,inperson,0,0,kCB2,-33, -68.0, -50.0,0,false,combined,26,0,24,1,0,,
141,166211,vp12,13,2017-10-06 17:48:43,1507312118790,O,1994,967, 0.29999999999999999, 0.46000000000000002,left, 1.0, 0.10000000000000001,inperson,0,0,kCB2,-33, -60.0, -50.0,0,false,combined,35,3,15,2,0,,
142,166212,vp12,14,2017-10-06 17:48:49,1507312125793,O,1112,967, 0.64000000000000001, 0.38,right, 0.20000000000000001, 1.0,inperson,0,0,kCB2,-33, -60.0, -81.0,0,false,combined,3,31,7,19,0,,
143,166213,vp12,15,2017-10-06 17:49:02,1507312137926,X,1824,967, 0.95999999999999996, 0.59999999999999998,left, 1.0, 1.0,inperson,0,0,kCB2,0, 16.0, 8.0,16,false,combined,2,20,48,30,0,,
144,166214,vp12,16,2017-10-06 17:49:07,1507312144763,X,902,967, 0.35999999999999999, 0.92000000000000004,right, 0.059999999999999998, 1.0,inperson,0,0,kCB2,0, 98.0, 90.0,90,false,combined,1,4,2,46,0,,
145,166215,vp12,17,2017-10-06 17:49:14,1507312150674,X,1028,967, 0.76000000000000001, 0.68000000000000005,left, 1.0, 0.02,inperson,0,0,kCB2,0, 88.0, 80.0,88,false,combined,12,1,38,0,0,,
146,166216,vp12,18,2017-10-06 17:49:20,1507312156711,X,1897,967, 0.95999999999999996, 0.32000000000000001,left, 1.0, 1.0,inperson,0,0,kCB2,0, 15.0, 53.0,15,false,combined,3,33,47,17,0,,
147,166217,vp12,19,2017-10-06 17:49:27,1507312163617,X,1083,967, 0.66000000000000003, 0.69999999999999996,right, 1.0, 1.0,inperson,0,0,kCB2,0, 22.0, 23.0,23,false,combined,17,15,33,35,0,,
148,166218,vp12,20,2017-10-06 17:49:39,1507312175716,O,1716,1055, 0.23999999999999999, 0.71999999999999997,right, 0.20000000000000001, 1.0,inperson,0,0,kCB2,88, 40.0, 7.0,0,false,combined,8,13,2,37,0,,
149,166219,vp12,21,2017-10-06 17:49:46,1507312182441,X,1278,1055, 0.47999999999999998, 0.40000000000000002,left, 1.0, 1.0,inperson,0,0,kCB2,88, 63.0, 13.0,63,false,combined,25,30,25,20,0,,
150,166220,vp12,22,2017-10-06 17:49:52,1507312188731,O,1827,1055, 0.28000000000000003, 0.66000000000000003,left, 1.0, 0.059999999999999998,inperson,0,0,kCB2,88, 88.0, 38.0,0,false,combined,36,1,14,2,0,,
151,166221,vp12,23,2017-10-06 17:49:59,1507312195568,X,1820,1055, 0.66000000000000003, 0.93999999999999995,right, 1.0, 1.0,inperson,0,0,kCB2,88, 15.0, 5.0,5,false,combined,18,2,32,48,0,,
152,166222,vp12,24,2017-10-06 17:50:06,1507312202397,X,1960,1055, 0.44, 0.44,right, 0.02, 1.0,inperson,0,0,kCB2,88, 11.0, 14.0,14,false,combined,0,27,1,23,0,,
153,166223,vp12,25,2017-10-06 17:50:19,1507312215373,O,1588,1055, 0.44, 0.59999999999999998,right, 1.0, 0.80000000000000004,inperson,0,0,kCB2,0, 68.0, 45.0,0,false,combined,27,20,23,30,0,,
154,166224,vp12,26,2017-10-06 17:50:26,1507312221976,X,1825,1055, 0.64000000000000001, 0.52000000000000002,right, 0.40000000000000002, 1.0,inperson,0,0,kCB2,0, 94.0, 100.0,100,false,combined,12,25,8,25,0,,
155,166225,vp12,27,2017-10-06 17:50:32,1507312228810,O,1239,1055, 0.26000000000000001, 0.20000000000000001,left, 1.0, 1.0,inperson,0,0,kCB2,0, 62.0, 134.0,0,false,combined,36,40,14,10,0,,
156,166226,vp12,28,2017-10-06 17:50:38,1507312235057,X,802,1055, 0.22, 0.59999999999999998,right, 0.059999999999999998, 1.0,inperson,0,0,kCB2,0, 27.0, 15.0,15,false,combined,1,20,2,30,0,,
157,166227,vp12,29,2017-10-06 17:50:44,1507312240867,O,1548,1055, 0.76000000000000001, 0.88,left, 1.0, 1.0,inperson,0,0,kCB2,0, 39.0, 34.0,0,false,combined,13,6,37,44,0,,
158,166228,vp12,30,2017-10-06 17:50:59,1507312253431,X,3232,1055, 0.47999999999999998, 0.80000000000000004,right, 0.10000000000000001, 1.0,inperson,0,0,kCB2,0, -63.0, -8.0,-8,false,combined,3,10,2,40,0,,
159,166229,vp12,31,2017-10-06 17:51:05,1507312261672,X,1824,1055, 0.92000000000000004, 0.64000000000000001,right, 0.20000000000000001, 1.0,inperson,0,0,kCB2,0, -80.0, -97.0,-97,false,combined,1,18,9,32,0,,
160,166230,vp12,32,2017-10-06 17:51:11,1507312268504,O,1069,1055, 0.76000000000000001, 0.52000000000000002,right, 1.0, 1.0,inperson,0,0,kCB2,0, -42.0, -61.0,0,false,combined,12,25,38,25,0,,
161,166231,vp12,33,2017-10-06 17:51:19,1507312274581,X,2538,1055, 0.64000000000000001, 0.92000000000000004,left, 1.0, 0.10000000000000001,inperson,0,0,kCB2,0, -98.0, -80.0,-98,false,combined,18,0,32,5,0,,
162,166232,vp12,34,2017-10-06 17:51:25,1507312282127,O,1420,1055, 0.22, 0.68000000000000005,left, 1.0, 0.20000000000000001,inperson,0,0,kCB2,0, -11.0, -8.0,0,false,combined,39,2,11,8,0,,
