Scenario - subjective stimulus intensity
Logfile written - 10/10/2017 23:31:12

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
vp13	91	Picture	VAS	139826	0	1	1167	1	0	next	other	0
vp13	92	Picture	VAS	140993	0	1	1167	1	0	next	other	0
vp13	93	Picture	VAS	142160	0	1	1167	1	0	next	other	0
vp13	94	Picture	VAS	143326	0	1	1167	1	0	next	other	0
vp13	95	Picture	VAS	144493	0	1	1167	1	0	next	other	0
vp13	96	Picture	VAS	145659	0	1	1167	1	0	next	other	0
vp13	97	Picture	VAS	146826	0	1	1167	1	0	next	other	0
vp13	98	Picture	VAS	147993	0	1	1167	1	0	next	other	0
vp13	99	Picture	VAS	149159	0	1	1167	1	0	next	other	0
vp13	100	Picture	VAS	150326	0	1	1167	1	0	next	other	0
vp13	101	Picture	VAS	151492	0	1	1167	1	0	next	other	0
vp13	102	Picture	VAS	152659	0	1	1167	1	0	next	other	0
vp13	103	Picture	VAS	153826	0	1	1167	1	0	next	other	0
vp13	104	Picture	VAS	154992	0	1	1167	1	0	next	other	0
vp13	105	Picture	VAS	156159	0	1	1167	1	0	next	other	0
vp13	106	Picture	VAS	157326	0	1	1167	1	0	next	other	0
vp13	107	Picture	VAS	158492	0	1	1167	1	0	next	other	0
vp13	108	Picture	VAS	159659	0	1	1167	1	0	next	other	0
vp13	109	Picture	VAS	160825	0	1	1167	1	0	next	other	0
vp13	110	Picture	VAS	161992	0	1	1167	1	0	next	other	0
vp13	111	Picture	VAS	163159	0	1	1167	1	0	next	other	0
vp13	112	Picture	VAS	164325	0	1	1167	1	0	next	other	0
vp13	113	Picture	VAS	165492	0	1	1167	1	0	next	other	0
vp13	114	Picture	VAS	166658	0	1	1167	1	0	next	other	0
vp13	115	Picture	VAS	167825	0	1	1167	1	0	next	other	0
vp13	116	Picture	VAS	168992	0	1	1167	1	0	next	other	0
vp13	117	Picture	VAS	170158	0	1	1167	1	0	next	other	0
vp13	118	Picture	VAS	171325	0	1	1167	1	0	next	other	0
vp13	119	Picture	VAS	172491	0	1	1167	1	0	next	other	0
vp13	120	Picture	VAS	173658	0	1	1167	1	0	next	other	0
vp13	121	Picture	VAS	174825	0	1	1167	1	0	next	other	0
vp13	122	Picture	VAS	175991	0	1	1167	1	0	next	other	0
vp13	123	Picture	VAS	177158	0	1	1167	1	0	next	other	0
vp13	124	Picture	VAS	178324	0	1	1167	1	0	next	other	0
vp13	125	Picture	VAS	179491	0	1	1167	1	0	next	other	0
vp13	126	Picture	VAS	180658	0	1	1167	1	0	next	other	0
