Scenario - subjective stimulus intensity
Logfile written - 10/18/2017 22:46:29

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

vp23	1	Picture	present_text	10333	0	1	6000	1	0	next	false_alarm	2
vp23	1	Response	3	16127	5794	1
vp23	2	Picture	VAS	16332	0	1	1167	1	0	next	other	0
vp23	3	Picture	VAS	17499	0	1	1167	1	0	next	other	0
vp23	4	Picture	VAS	18665	0	1	1167	1	0	next	false_alarm	6
vp23	4	Response	3	19008	342	1
vp23	5	Picture	VAS	19832	0	1	1167	1	0	next	other	0
vp23	6	Picture	present_text	20999	0	1	18832	1	0	next	false_alarm	9
vp23	6	Response	3	39610	18612	2
vp23	6	Text Input	z	43810	22811	1
vp23	6	Response	3	43810	22811	1
vp23	6	Text Input	8	60729	39730	1
vp23	6	Response	3	60729	39730	1
vp23	7	Picture	present_text	60995	0	1	16499	1	0	next	false_alarm	15
vp23	7	Response	3	77186	16190	0
vp23	8	Picture	present_text	77494	0	1	36497	1	0	next	false_alarm	17
vp23	8	Response	3	113852	36358	0
vp23	9	Picture	Jitter	113991	0	1	10166	1	0	next	other	0
vp23	10	Picture	instruct	124157	0	1	20498	1	0	next	other	0
vp23	10	Manual	shock delivered	144158	20001	NA
vp23	10	Manual	shock delivered	144278	20121	NA
vp23	10	Manual	shock delivered	144398	20242	NA
vp23	11	Picture	VAS	144655	0	1	1167	1	0	next	other	0
vp23	12	Picture	VAS	145822	0	1	1167	1	0	next	other	0
vp23	13	Picture	VAS	146988	0	1	1167	1	0	next	other	0
vp23	14	Picture	VAS	148155	0	1	1167	1	0	next	other	0
vp23	15	Picture	VAS	149322	0	1	1167	1	0	next	other	0
vp23	16	Picture	VAS	150488	0	1	1166	1	0	next	other	0
vp23	17	Picture	VAS	151655	0	1	1167	1	0	next	other	0
vp23	18	Picture	VAS	152821	0	1	1167	1	0	next	other	0
vp23	19	Picture	VAS	153988	0	1	1167	1	0	next	other	0
vp23	20	Picture	VAS	155154	0	1	1167	1	0	next	other	0
vp23	21	Picture	VAS	156321	0	1	1166	1	0	next	other	0
vp23	22	Picture	VAS	157487	0	1	1167	1	0	next	other	0
vp23	23	Picture	VAS	158654	0	1	1167	1	0	next	other	0
vp23	24	Picture	VAS	159821	0	1	1166	1	0	next	other	0
vp23	25	Picture	VAS	160987	0	1	1167	1	0	next	other	0
vp23	26	Picture	VAS	162154	0	1	1167	1	0	next	other	0
vp23	27	Picture	VAS	163320	0	1	1167	1	0	next	other	0
vp23	28	Picture	VAS	164487	0	1	1167	1	0	next	other	0
vp23	29	Picture	VAS	165653	0	1	1167	1	0	next	other	0
vp23	30	Picture	VAS	166820	0	1	1166	1	0	next	other	0
vp23	31	Picture	VAS	167987	0	1	1167	1	0	next	other	0
vp23	32	Picture	VAS	169153	0	1	1167	1	0	next	other	0
vp23	33	Picture	VAS	170320	0	1	1167	1	0	next	other	0
vp23	34	Picture	VAS	171486	0	1	1167	1	0	next	other	0
vp23	35	Picture	VAS	172653	0	1	1167	1	0	next	other	0
vp23	36	Picture	VAS	173820	0	1	1166	1	0	next	other	0
vp23	37	Picture	VAS	174986	0	1	1167	1	0	next	other	0
vp23	38	Picture	VAS	176153	0	1	1167	1	0	next	other	0
vp23	39	Picture	VAS	177319	0	1	1166	1	0	next	other	0
vp23	40	Picture	VAS	178486	0	1	1167	1	0	next	other	0
vp23	41	Picture	VAS	179652	0	1	1167	1	0	next	other	0
vp23	42	Picture	VAS	180819	0	1	1167	1	0	next	other	0
vp23	43	Picture	VAS	181985	0	1	1167	1	0	next	other	0
vp23	44	Picture	VAS	183152	0	1	1167	1	0	next	other	0
vp23	45	Picture	VAS	184319	0	1	1166	1	0	next	other	0
vp23	46	Picture	VAS	185485	0	1	1167	1	0	next	false_alarm	59
vp23	46	Response	2	186306	820	1
vp23	47	Picture	VAS	186652	0	1	1167	1	0	next	false_alarm	61
vp23	47	Response	2	187595	943	1
vp23	48	Picture	VAS	187818	0	1	1167	1	0	next	other	0
vp23	49	Picture	VAS	188985	0	1	1167	1	0	next	other	0
vp23	50	Picture	VAS	190152	0	1	1167	1	0	next	other	0
vp23	51	Picture	VAS	191318	0	1	1167	1	0	next	other	0
vp23	52	Picture	VAS	192485	0	1	1167	1	0	next	other	0
vp23	53	Picture	VAS	193651	0	1	1166	1	0	next	other	0
vp23	54	Picture	VAS	194818	0	1	1167	1	0	next	other	0
vp23	55	Picture	VAS	195984	0	1	1167	1	0	next	other	0
vp23	56	Picture	VAS	197151	0	1	1167	1	0	next	other	0
vp23	57	Picture	VAS	198317	0	1	1167	1	0	next	other	0
vp23	58	Picture	VAS	199484	0	1	1167	1	0	next	other	0
vp23	59	Picture	VAS	200651	0	1	1166	1	0	next	other	0
vp23	60	Picture	VAS	201817	0	1	1167	1	0	next	other	0
vp23	61	Picture	VAS	202984	0	1	1167	1	0	next	other	0
vp23	62	Picture	VAS	204150	0	1	1167	1	0	next	other	0
vp23	63	Picture	VAS	205317	0	1	1167	1	0	next	other	0
vp23	64	Picture	VAS	206484	0	1	1167	1	0	next	other	0
vp23	65	Picture	VAS	207650	0	1	1167	1	0	next	other	0
vp23	66	Picture	VAS	208817	0	1	1167	1	0	next	other	0
vp23	67	Picture	VAS	209983	0	1	1167	1	0	next	other	0
vp23	68	Picture	VAS	211150	0	1	1167	1	0	next	other	0
vp23	69	Picture	VAS	212316	0	1	1166	1	0	next	other	0
vp23	70	Picture	VAS	213483	0	1	1167	1	0	next	other	0
vp23	71	Picture	VAS	214650	0	1	1167	1	0	next	other	0
vp23	72	Picture	VAS	215816	0	1	1167	1	0	next	other	0
vp23	73	Picture	VAS	216983	0	1	1166	1	0	next	other	0
vp23	74	Picture	VAS	218149	0	1	1167	1	0	next	other	0
vp23	75	Picture	VAS	219316	0	1	1167	1	0	next	other	0
vp23	76	Picture	VAS	220482	0	1	1167	1	0	next	other	0
vp23	77	Picture	VAS	221649	0	1	1167	1	0	next	other	0
vp23	78	Picture	VAS	222816	0	1	1166	1	0	next	other	0
vp23	79	Picture	VAS	223982	0	1	1167	1	0	next	other	0
vp23	80	Picture	VAS	225149	0	1	1167	1	0	next	other	0
vp23	81	Picture	VAS	226315	0	1	1167	1	0	next	other	0
vp23	82	Picture	VAS	227482	0	1	1167	1	0	next	other	0
vp23	83	Picture	VAS	228648	0	1	1167	1	0	next	other	0
vp23	84	Picture	VAS	229815	0	1	1167	1	0	next	other	0
vp23	85	Picture	VAS	230982	0	1	1167	1	0	next	other	0
vp23	86	Picture	VAS	232148	0	1	1167	1	0	next	other	0
vp23	87	Picture	VAS	233315	0	1	1167	1	0	next	other	0
