,MID,bic,aic,pseudoR2,pred_acc,task
0,vp06,183.57091935650288,177.54964876831036,0.1644379816391497,0.7933333333333333,loss
1,vp07,179.17405441783447,173.15278382964195,0.18392880198896977,0.7333333333333333,loss
2,vp10,162.0722897128352,156.05101912464266,0.2641585909460519,0.7733333333333333,loss
3,vp11,129.92732042023175,123.90604983203923,0.42307781637905517,0.8666666666666667,loss
4,vp12,134.74965226946267,128.72838168127015,0.3994900071297953,0.8133333333333334,loss
5,vp13,177.86101149055122,171.8397409023587,0.19026352785305678,0.7333333333333333,loss
6,vp15,165.98521217376384,159.96394158557132,0.21712409315781767,0.7666666666666667,loss
7,vp16,154.44962864317614,148.42835805498362,0.28466639765301827,0.8133333333333334,loss
8,vp17,164.6060159233029,158.58474533511037,0.25421175186271494,0.7933333333333333,loss
9,vp18,171.6396469536374,165.61837636544487,0.2202782653936216,0.7466666666666667,loss
10,vp19,214.12346173625087,208.10219114805835,0.005686856659402384,0.5866666666666667,loss
11,vp20,179.31005821253714,173.28878762434462,0.1821131043946681,0.74,loss
12,vp22,170.42768033064783,164.4064097424553,0.19864950320471675,0.7333333333333333,loss
13,vp23,190.77349069989967,184.75222011170715,0.12672968921613126,0.6466666666666666,loss
14,vp25,111.54930317591732,105.52803258772481,0.5077052462706062,0.8333333333333334,loss
15,vp26,134.8631003615456,128.84182977335308,0.3995607019490496,0.8133333333333334,loss
16,vp27,168.65841236479582,162.6371417766033,0.2371166075269835,0.76,loss
17,vp28,196.09993822980994,190.07866764161741,0.061212871255270196,0.6466666666666666,loss
18,vp29,211.20501731143645,205.18374672324393,0.03052053363169427,0.6133333333333333,loss
19,vp30,175.59984430379816,169.57857371560564,0.1986928355136034,0.7066666666666667,loss
20,vp31,209.98674040970025,203.96546982150772,0.038246022570854965,0.62,loss
21,vp32,180.64828802512142,174.6270174369289,0.179352251049555,0.7466666666666667,loss
22,vp33,187.81571511073224,181.79444452253972,0.1379004394175516,0.7333333333333333,loss
23,vp34,177.58008889050734,171.55881830231482,0.19161882829550803,0.7333333333333333,loss
24,vp35,147.0239105206263,141.00263993243377,0.33980130892253924,0.82,loss
25,vp36,138.95156827236386,132.93029768417134,0.36617003363485656,0.82,loss
26,vp37,169.6860172982042,163.66474671001168,0.2317807612855588,0.72,loss
27,vp38,209.07962374813047,203.05835315993795,0.03479482021895841,0.66,loss
28,vp39,162.9886281664539,156.96735757826139,0.26428815585491816,0.78,loss
29,vp40,165.99721050501796,159.97593991682544,0.24904733545948388,0.7733333333333333,loss
0,vp06,209.47869442121223,203.4574238330197,0.040320211879696255,0.6866666666666666,gain
1,vp07,193.66091988987708,187.63964930168456,0.10955788639151265,0.6866666666666666,gain
2,vp10,179.26808002947772,173.2468094412852,0.18094063785872694,0.7266666666666667,gain
3,vp11,173.11721103353364,167.0959404453411,0.20326670947513892,0.7533333333333333,gain
4,vp12,192.47412644182174,186.45285585362922,0.12247469542033507,0.6733333333333333,gain
5,vp13,179.03709160996928,173.01582102177676,0.1862662843161056,0.7266666666666667,gain
6,vp15,187.23858760737346,181.21731701918094,0.14502176710378023,0.6666666666666666,gain
7,vp16,133.5591789497841,127.53790836159158,0.39468194869900275,0.8333333333333334,gain
