,MID,bic,aic,pseudoR2,pred_acc,task
0,vp06,188.52773267685953,179.49582679457077,0.16469710977527208,0.7466666666666667,loss
1,vp07,182.08748603630562,173.05558015401687,0.1940466816791092,0.68,loss
2,vp10,165.1579863667884,156.12608048449965,0.27347421125204996,0.8,loss
3,vp11,134.86715100271064,125.83524512042189,0.4234184898387692,0.88,loss
4,vp12,139.69186946802753,130.65996358573875,0.39981940890271916,0.82,loss
5,vp13,182.74635527860062,173.71444939631186,0.1908679919778874,0.7333333333333333,loss
6,vp15,160.20546344787925,151.1735575655905,0.27128745674646515,0.7866666666666666,loss
7,vp16,151.7069969192615,142.67509103697276,0.32306725258650937,0.8133333333333334,loss
8,vp17,169.40932116430727,160.37741528201852,0.25521200785011133,0.8,loss
9,vp18,175.85903848011068,166.82713259782193,0.22409559097788823,0.7733333333333333,loss
10,vp19,216.5585270339452,207.52662115165646,0.018234115876028634,0.5866666666666667,loss
11,vp20,183.44369318377062,174.41178730148187,0.18635016629095136,0.7533333333333333,loss
12,vp22,163.10952766063144,154.0776217783427,0.2602410591518134,0.7333333333333333,loss
13,vp23,194.34503038444376,185.313124502155,0.13368240863182979,0.6866666666666666,loss
14,vp25,110.63950026914894,101.60759438686017,0.5364125952832683,0.8533333333333334,loss
15,vp26,139.84099536077457,130.80908947848582,0.3997181696800479,0.8266666666666667,loss
16,vp27,173.43611976571552,164.40421388342676,0.2382367539148852,0.7466666666666667,loss
17,vp28,187.56927687977577,178.53737099748702,0.12953018649157422,0.6533333333333333,loss
18,vp29,215.98667380680928,206.95476792452052,0.031623953998456744,0.6066666666666667,loss
19,vp30,179.05028179266287,170.01837591037412,0.2062433153329023,0.7733333333333333,loss
20,vp31,214.91289539351948,205.88098951123072,0.03865233909388199,0.6066666666666667,loss
21,vp32,185.61373472259731,176.58182884030856,0.17956959013601248,0.7333333333333333,loss
22,vp33,192.04446955874414,183.0125636764554,0.14169166661617016,0.72,loss
23,vp34,182.07748364224227,173.04557775995352,0.19409493785037324,0.7533333333333333,loss
24,vp35,151.264189270761,142.23228338847224,0.3435135613450997,0.8266666666666667,loss
25,vp36,137.3645156472443,128.33260976495555,0.3986047087037691,0.8333333333333334,loss
26,vp37,174.1442134025724,165.11230752028365,0.23443879583929594,0.7333333333333333,loss
27,vp38,211.5366502728873,202.50474439059855,0.04717690000699082,0.6466666666666666,loss
28,vp39,167.9876217306173,158.95571584832854,0.26434414792233396,0.78,loss
29,vp40,171.00764422957488,161.97573834728612,0.24904830592443328,0.7733333333333333,loss
0,vp06,214.39656448741533,205.36465860512658,0.040766547305766565,0.6266666666666667,gain
1,vp07,197.8213361447116,188.78943026242285,0.1136804756102856,0.68,gain
2,vp10,183.72571721559058,174.69381133330182,0.18361683765880243,0.7133333333333334,gain
3,vp11,174.25234770271993,165.22044182043118,0.22219874888346414,0.7733333333333333,gain
4,vp12,197.47217070877457,188.44026482648582,0.12253525322786996,0.6666666666666666,gain
5,vp13,183.59922508741118,174.56731920512243,0.18842561500805355,0.7266666666666667,gain
6,vp15,191.3353345953375,182.30342871304876,0.14943078661826048,0.6866666666666666,gain
7,vp16,133.22501348045915,124.1931075981704,0.4208707066730859,0.84,gain
8,vp17,174.3671836284151,165.33527774612634,0.23287366344730998,0.72,gain
9,vp18,168.56072328341685,159.5288174011281,0.22124829887975384,0.7466666666666667,gain
10,vp19,213.92498422841197,204.89307834612322,0.03746937137385331,0.5333333333333333,gain
11,vp20,189.83260573034664,180.8006998480579,0.15938632395095576,0.72,gain
12,vp22,181.47611372189408,172.44420783960533,0.19115042686892136,0.7666666666666667,gain
13,vp23,175.03565199920362,166.00374611691487,0.2301496819667861,0.7333333333333333,gain
14,vp25,148.88003003381493,139.84812415152618,0.3559961972958563,0.84,gain
15,vp26,173.82240647695272,164.79050059466397,0.23154329135948248,0.7533333333333333,gain
16,vp27,190.8572092523887,181.82530337009996,0.15271971985003374,0.7133333333333334,gain
17,vp28,215.16982190651228,206.13791602422353,0.022314473570805182,0.58,gain
18,vp29,216.06517364422916,207.0332677619404,0.02711205838480757,0.5933333333333334,gain
19,vp30,174.5827126248396,165.55080674255083,0.2205848967498325,0.7666666666666667,gain
20,vp31,201.16629940174067,192.13439351945192,0.10488277843537308,0.6866666666666666,gain
21,vp32,202.08445208906767,193.0525462067789,0.09861703227525576,0.6333333333333333,gain
22,vp33,181.74058732278314,172.7086814404944,0.19788920859338088,0.8266666666666667,gain
23,vp34,180.7531604369606,171.72125455467184,0.203049226280258,0.7266666666666667,gain
24,vp35,163.61411301421577,154.58220713192702,0.2809456899024274,0.7333333333333333,gain
25,vp36,167.90417656927673,158.87227068698797,0.26142641428936375,0.76,gain
26,vp37,168.4689956978567,159.43708981556796,0.2586975970408293,0.74,gain
27,vp38,219.1583308333224,210.12642495103364,0.017224818123549812,0.5533333333333333,gain
28,vp39,176.93650684246438,167.90460096017563,0.21778841161424067,0.7466666666666667,gain
29,vp40,167.19601828411965,158.1641124018309,0.2605457470728275,0.7666666666666667,gain
0,vp06,175.80575761649442,166.77385173420566,0.22525079424198535,0.76,shock
1,vp07,146.87124528428419,137.83933940199543,0.36197175242356994,0.86,shock
2,vp10,189.6018080587299,180.56990217644113,0.15353577913312233,0.64,shock
3,vp11,144.99410103209203,135.96219514980328,0.3742915940155749,0.8466666666666667,shock
4,vp12,182.77975411321648,173.74784823092773,0.1916439720596873,0.7866666666666666,shock
5,vp13,147.6814539811548,138.64954809886603,0.36200869779097555,0.8466666666666667,shock
6,vp15,155.97493104877412,146.94302516648537,0.3208130823077471,0.82,shock
7,vp16,111.96241060414143,102.93050472185266,0.5333240444971967,0.8666666666666667,shock
8,vp17,141.46774272268152,132.43583684039277,0.3891490657011466,0.8466666666666667,shock
9,vp18,188.61551658086722,179.58361069857847,0.16523928555186818,0.7266666666666667,shock
10,vp19,159.46748275692028,150.43557687463152,0.3039829097842426,0.8,shock
11,vp20,201.78581300703001,192.75390712474126,0.09621613221579439,0.6933333333333334,shock
12,vp22,141.83038173661112,132.79847585432236,0.36352293509974554,0.8333333333333334,shock
13,vp23,187.60432607966067,178.5724201973719,0.16743089587004922,0.7733333333333333,shock
14,vp25,178.1671314180058,169.13522553571704,0.20723070360992735,0.7,shock
15,vp26,144.5119741337913,135.48006825150256,0.3772526289172057,0.8066666666666666,shock
16,vp27,218.73599606813383,209.70409018584508,0.012268312940445614,0.6,shock
17,vp28,190.9291917821198,181.89728589983105,0.13217155685464288,0.6933333333333334,shock
18,vp29,215.87894227759395,206.8470363953052,0.033013571025447,0.6466666666666666,shock
19,vp30,189.09356529932086,180.0616594170321,0.16283299605839108,0.7466666666666667,shock
20,vp31,182.19764256939288,173.16573668710413,0.19237022516822322,0.6866666666666666,shock
21,vp32,190.4236223249104,181.39171644262166,0.1565441349174217,0.8,shock
22,vp33,177.4535311985635,168.42162531627474,0.20873972049833966,0.7733333333333333,shock
23,vp34,157.13250208548857,148.1005962031998,0.3152348913791274,0.7933333333333333,shock
24,vp35,154.4280434342564,145.39613755196766,0.32826734142897407,0.8066666666666666,shock
25,vp36,178.82772920607832,169.79582332378956,0.19742393326432262,0.7533333333333333,shock
26,vp37,154.073616647935,145.04171076564626,0.3291985333667311,0.7866666666666666,shock
27,vp38,180.587864961814,171.55595907952525,0.1861158326650847,0.7333333333333333,shock
28,vp39,157.29365652944585,148.2617506471571,0.29811996272891916,0.8,shock
29,vp40,179.80500289846958,170.77309701618083,0.18049730005755404,0.6933333333333334,shock
