,MID,parameter,beta,se,task
1,vp06,inv_tmp,10.0,10.0,loss
2,vp06,beta,1.55501050456,1.55501050456,loss
3,vp06,a,-0.0170518843194,-0.0170518843194,loss
4,vp06,b0,0.0335246752013,0.0335246752013,loss
5,vp07,inv_tmp,10.0,10.0,loss
6,vp07,beta,0.73502202955,0.73502202955,loss
7,vp07,a,0.0401970661924,0.0401970661924,loss
8,vp07,b0,-0.220937492237,-0.220937492237,loss
9,vp10,inv_tmp,10.0,10.0,loss
10,vp10,beta,0.269142713185,0.269142713185,loss
11,vp10,a,0.161169003298,0.161169003298,loss
12,vp10,b0,-0.217948882394,-0.217948882394,loss
13,vp11,inv_tmp,10.0,10.0,loss
14,vp11,beta,0.344374188044,0.344374188044,loss
15,vp11,a,0.0706112834944,0.0706112834944,loss
16,vp11,b0,0.104571691397,0.104571691397,loss
17,vp12,inv_tmp,10.0,10.0,loss
18,vp12,beta,0.0980153806181,0.0980153806181,loss
19,vp12,a,0.128121976874,0.128121976874,loss
20,vp12,b0,0.00661689547714,0.00661689547714,loss
21,vp13,inv_tmp,10.0,10.0,loss
22,vp13,beta,0.692042894899,0.692042894899,loss
23,vp13,a,0.031173056677,0.031173056677,loss
24,vp13,b0,0.109169298192,0.109169298192,loss
25,vp15,inv_tmp,10.0,10.0,loss
26,vp15,beta,0.168380647748,0.168380647748,loss
27,vp15,a,0.0705992420186,0.0705992420186,loss
28,vp15,b0,-0.714227413248,-0.714227413248,loss
29,vp16,inv_tmp,10.0,10.0,loss
30,vp16,beta,0.135997587991,0.135997587991,loss
31,vp16,a,0.0945946901398,0.0945946901398,loss
32,vp16,b0,-0.584923882774,-0.584923882774,loss
33,vp17,inv_tmp,10.0,10.0,loss
34,vp17,beta,0.538035796272,0.538035796272,loss
35,vp17,a,0.0112384655939,0.0112384655939,loss
36,vp17,b0,0.135936722981,0.135936722981,loss
37,vp18,inv_tmp,10.0,10.0,loss
38,vp18,beta,0.315614871781,0.315614871781,loss
39,vp18,a,0.00727434015749,0.00727434015749,loss
40,vp18,b0,0.226944976739,0.226944976739,loss
41,vp19,inv_tmp,-2.21796569574,-2.21796569574,loss
42,vp19,beta,0.421499499599,0.421499499599,loss
43,vp19,a,0.0736414126721,0.0736414126721,loss
44,vp19,b0,-0.276715513931,-0.276715513931,loss
45,vp20,inv_tmp,10.0,10.0,loss
