,MID,parameter,beta,se,task
25,vp22,inv_tmp,-5.09995716767,-5.09995716767,gain
26,vp22,beta,0.192990845812,0.192990845812,gain
27,vp23,inv_tmp,-5.47045368252,-5.47045368252,gain
28,vp23,beta,0.1451765849,0.1451765849,gain
29,vp25,inv_tmp,-7.23258499228,-7.23258499228,gain
30,vp25,beta,0.0965385682985,0.0965385682985,gain
31,vp26,inv_tmp,-6.45935104883,-6.45935104883,gain
32,vp26,beta,0.249290765181,0.249290765181,gain
33,vp27,inv_tmp,-10.0,-10.0,gain
34,vp27,beta,1.05198269617,1.05198269617,gain
35,vp28,inv_tmp,-2.31857373264,-2.31857373264,gain
36,vp28,beta,0.689253766187,0.689253766187,gain
37,vp29,inv_tmp,-4.38883854323,-4.38883854323,gain
38,vp29,beta,1.54060071477,1.54060071477,gain
39,vp30,inv_tmp,-6.35341583904,-6.35341583904,gain
40,vp30,beta,0.276301508753,0.276301508753,gain
41,vp31,inv_tmp,-2.62574211191,-2.62574211191,gain
42,vp31,beta,0.0346393788815,0.0346393788815,gain
43,vp32,inv_tmp,-9.993007142,-9.993007142,gain
44,vp32,beta,1.43656445224,1.43656445224,gain
45,vp33,inv_tmp,-10.0,-10.0,gain
46,vp33,beta,2.14552471679,2.14552471679,gain
47,vp34,inv_tmp,-10.0,-10.0,gain
48,vp34,beta,0.905101027052,0.905101027052,gain
49,vp35,inv_tmp,-9.21800087472,-9.21800087472,gain
50,vp35,beta,0.380163672765,0.380163672765,gain
51,vp36,inv_tmp,-10.0,-10.0,gain
52,vp36,beta,0.54707220172,0.54707220172,gain
53,vp37,inv_tmp,-5.394042935,-5.394042935,gain
54,vp37,beta,0.0873428396672,0.0873428396672,gain
55,vp38,inv_tmp,-1.79058489153,-1.79058489153,gain
56,vp38,beta,0.456078599044,0.456078599044,gain
57,vp39,inv_tmp,-5.41053111531,-5.41053111531,gain
58,vp39,beta,0.173800035939,0.173800035939,gain
59,vp40,inv_tmp,-9.16045160587,-9.16045160587,gain
60,vp40,beta,0.44023049865,0.44023049865,gain
1,vp06,inv_tmp,6.18062050349,6.18062050349,shock
2,vp06,beta,0.229784117996,0.229784117996,shock
3,vp07,inv_tmp,9.21654907783,9.21654907783,shock
4,vp07,beta,0.224343927554,0.224343927554,shock
5,vp10,inv_tmp,10.0,10.0,shock
6,vp10,beta,1.6062438184,1.6062438184,shock
7,vp11,inv_tmp,8.00489669395,8.00489669395,shock
8,vp11,beta,0.125843863367,0.125843863367,shock
9,vp12,inv_tmp,4.5751330649,4.5751330649,shock
10,vp12,beta,0.120538940164,0.120538940164,shock
11,vp13,inv_tmp,8.75973940211,8.75973940211,shock
12,vp13,beta,0.190074287041,0.190074287041,shock
13,vp15,inv_tmp,5.78305150668,5.78305150668,shock
14,vp15,beta,0.0262666420724,0.0262666420724,shock
15,vp16,inv_tmp,10.0,10.0,shock
16,vp16,beta,0.0391165875432,0.0391165875432,shock
17,vp17,inv_tmp,10.0,10.0,shock
18,vp17,beta,0.286080578795,0.286080578795,shock
19,vp18,inv_tmp,10.0,10.0,shock
20,vp18,beta,1.34998275157,1.34998275157,shock
21,vp19,inv_tmp,5.74644165806,5.74644165806,shock
22,vp19,beta,0.0479145026907,0.0479145026907,shock
23,vp20,inv_tmp,3.7009291327,3.7009291327,shock
24,vp20,beta,0.275815192671,0.275815192671,shock
25,vp22,inv_tmp,5.82494021906,5.82494021906,shock
26,vp22,beta,0.009281652163,0.009281652163,shock
27,vp23,inv_tmp,3.38081761706,3.38081761706,shock
28,vp23,beta,0.00916626884295,0.00916626884295,shock
29,vp25,inv_tmp,10.0,10.0,shock
30,vp25,beta,1.43981962238,1.43981962238,shock
31,vp26,inv_tmp,9.27282456725,9.27282456725,shock
32,vp26,beta,0.19641762493,0.19641762493,shock
33,vp27,inv_tmp,6.68537537114,6.68537537114,shock
34,vp27,beta,0.0849720441689,0.0849720441689,shock
35,vp28,inv_tmp,4.90164286475,4.90164286475,shock
36,vp28,beta,0.368204772324,0.368204772324,shock
37,vp29,inv_tmp,5.36451990885,5.36451990885,shock
38,vp29,beta,1.89976842181,1.89976842181,shock
39,vp30,inv_tmp,10.0,10.0,shock
40,vp30,beta,0.900746754838,0.900746754838,shock
41,vp31,inv_tmp,10.0,10.0,shock
42,vp31,beta,0.967886951392,0.967886951392,shock
43,vp32,inv_tmp,6.82356121803,6.82356121803,shock
44,vp32,beta,0.496439502843,0.496439502843,shock
45,vp33,inv_tmp,10.0,10.0,shock
46,vp33,beta,1.57022759222,1.57022759222,shock
47,vp34,inv_tmp,6.86102558292,6.86102558292,shock
48,vp34,beta,0.125463223909,0.125463223909,shock
49,vp35,inv_tmp,10.0,10.0,shock
50,vp35,beta,0.490178109123,0.490178109123,shock
51,vp36,inv_tmp,5.90216545578,5.90216545578,shock
52,vp36,beta,0.286884587585,0.286884587585,shock
53,vp37,inv_tmp,5.62317176921,5.62317176921,shock
54,vp37,beta,0.0,0.0,shock
55,vp38,inv_tmp,10.0,10.0,shock
56,vp38,beta,2.20741580117,2.20741580117,shock
57,vp39,inv_tmp,6.09945051483,6.09945051483,shock
58,vp39,beta,0.110159523862,0.110159523862,shock
59,vp40,inv_tmp,10.0,10.0,shock
60,vp40,beta,1.10337859216,1.10337859216,shock
