,MID,parameter,beta,se,task
1,vp06,inv_tmp,10.0,10.0,loss
2,vp06,beta,1.83088034246,1.83088034246,loss
3,vp07,inv_tmp,10.0,10.0,loss
4,vp07,beta,1.00339992137,1.00339992137,loss
5,vp10,inv_tmp,8.16068713571,8.16068713571,loss
6,vp10,beta,0.315293355539,0.315293355539,loss
7,vp11,inv_tmp,10.0,10.0,loss
8,vp11,beta,0.418865662803,0.418865662803,loss
9,vp12,inv_tmp,8.49022768155,8.49022768155,loss
10,vp12,beta,0.113068100297,0.113068100297,loss
11,vp13,inv_tmp,10.0,10.0,loss
12,vp13,beta,0.893267206491,0.893267206491,loss
13,vp15,inv_tmp,5.38330983819,5.38330983819,loss
14,vp15,beta,0.100762675968,0.100762675968,loss
15,vp16,inv_tmp,6.51389664901,6.51389664901,loss
16,vp16,beta,0.112873149134,0.112873149134,loss
17,vp17,inv_tmp,10.0,10.0,loss
18,vp17,beta,0.697299619602,0.697299619602,loss
19,vp18,inv_tmp,7.61314095475,7.61314095475,loss
20,vp18,beta,0.374164900273,0.374164900273,loss
21,vp19,inv_tmp,-1.98375920914,-1.98375920914,loss
22,vp19,beta,0.528946701527,0.528946701527,loss
23,vp20,inv_tmp,4.6904915973,4.6904915973,loss
24,vp20,beta,0.147748471146,0.147748471146,loss
25,vp22,inv_tmp,8.23499247205,8.23499247205,loss
26,vp22,beta,0.415694223361,0.415694223361,loss
27,vp23,inv_tmp,5.40607261823,5.40607261823,loss
28,vp23,beta,0.407532247684,0.407532247684,loss
29,vp25,inv_tmp,10.0,10.0,loss
30,vp25,beta,0.0936768347712,0.0936768347712,loss
31,vp26,inv_tmp,10.0,10.0,loss
32,vp26,beta,0.333703786654,0.333703786654,loss
33,vp27,inv_tmp,10.0,10.0,loss
34,vp27,beta,0.702058738884,0.702058738884,loss
35,vp28,inv_tmp,5.81483353533,5.81483353533,loss
36,vp28,beta,0.601106860721,0.601106860721,loss
37,vp29,inv_tmp,4.58218379407,4.58218379407,loss
38,vp29,beta,1.42469367482,1.42469367482,loss
39,vp30,inv_tmp,5.87860114935,5.87860114935,loss
40,vp30,beta,0.245212539163,0.245212539163,loss
41,vp31,inv_tmp,3.08661807131,3.08661807131,loss
42,vp31,beta,0.578935793846,0.578935793846,loss
43,vp32,inv_tmp,8.9089675053,8.9089675053,loss
44,vp32,beta,0.637186042956,0.637186042956,loss
45,vp33,inv_tmp,10.0,10.0,loss
46,vp33,beta,1.12916452111,1.12916452111,loss
47,vp34,inv_tmp,4.61048251438,4.61048251438,loss
48,vp34,beta,0.120191877009,0.120191877009,loss
49,vp35,inv_tmp,10.0,10.0,loss
50,vp35,beta,0.37445888816,0.37445888816,loss
51,vp36,inv_tmp,9.15558801558,9.15558801558,loss
52,vp36,beta,0.184860969271,0.184860969271,loss
53,vp37,inv_tmp,4.57068972309,4.57068972309,loss
54,vp37,beta,0.0447669876364,0.0447669876364,loss
55,vp38,inv_tmp,4.70163132822,4.70163132822,loss
56,vp38,beta,1.0964370433,1.0964370433,loss
57,vp39,inv_tmp,7.46982606022,7.46982606022,loss
58,vp39,beta,0.266961552936,0.266961552936,loss
59,vp40,inv_tmp,10.0,10.0,loss
60,vp40,beta,1.04964373646,1.04964373646,loss
1,vp06,inv_tmp,-6.82801367495,-6.82801367495,gain
2,vp06,beta,2.45415169666,2.45415169666,gain
3,vp07,inv_tmp,-10.0,-10.0,gain
4,vp07,beta,1.30807181722,1.30807181722,gain
5,vp10,inv_tmp,-10.0,-10.0,gain
6,vp10,beta,0.823039257926,0.823039257926,gain
7,vp11,inv_tmp,-5.64145740033,-5.64145740033,gain
8,vp11,beta,0.192900248622,0.192900248622,gain
9,vp12,inv_tmp,-4.05561903385,-4.05561903385,gain
10,vp12,beta,0.229408508066,0.229408508066,gain
11,vp13,inv_tmp,-5.33413839554,-5.33413839554,gain
12,vp13,beta,0.222598970309,0.222598970309,gain
13,vp15,inv_tmp,-5.34348673891,-5.34348673891,gain
14,vp15,beta,0.335802687509,0.335802687509,gain
15,vp16,inv_tmp,-8.79213736896,-8.79213736896,gain
16,vp16,beta,0.123371556456,0.123371556456,gain
17,vp17,inv_tmp,-8.30613980187,-8.30613980187,gain
18,vp17,beta,0.415144330753,0.415144330753,gain
19,vp18,inv_tmp,-5.32097405664,-5.32097405664,gain
20,vp18,beta,0.200647647,0.200647647,gain
21,vp19,inv_tmp,-6.54678726826,-6.54678726826,gain
22,vp19,beta,2.61847700652,2.61847700652,gain
23,vp20,inv_tmp,-8.70732607502,-8.70732607502,gain
24,vp20,beta,0.708301007684,0.708301007684,gain
