"trial_number","ml","mr","pr","pl","rr","rl","revealed_o_l","revealed_x_l","revealed_o_r","revealed_x_r","mag_left","mag_right","info_amb"
86,30,29,0.94,0.88,1,1,6,44,4,46,30,29,1
87,18,47,0.32,0.84,1,1,8,42,33,17,18,47,1
88,94,75,0.88,0.3,0.8,1,41,9,15,25,94,75,0.8
89,116,42,0.94,0.24,1,1,37,13,4,46,116,42,1
90,25,16,0.9,0.44,0.06,1,26,24,1,2,25,16,0.06
91,31,75,0.4,0.16,1,1,42,8,30,20,31,75,1
92,74,60,0.88,0.84,1,1,8,42,7,43,74,60,1
93,98,80,0.92,0.64,0.1,1,18,32,0,5,98,80,0.1
94,25,55,0.28,0.52,1,1,24,26,36,14,25,55,1
95,-12,-134,0.06,0.72,1,1,14,36,46,4,-12,-134,1
96,-11,-8,0.68,0.22,0.2,1,39,11,2,8,-11,-8,0.2
97,-13,-9,0.48,0.62,0.02,1,20,30,0,1,-13,-9,0.02
98,-47,-99,0.16,0.72,0.4,1,22,28,17,3,-47,-99,0.4
99,-60,-55,0.46,0.3,0.1,1,35,15,3,2,-60,-55,0.1
100,-33,-60,0.26,0.42,0.4,1,28,22,18,2,-33,-60,0.4
101,-60,-94,0.16,0.88,1,0.02,0,1,42,8,-60,-94,0.02
102,-72,-80,0.8,0.96,1,0.1,0,5,10,40,-72,-80,0.1
103,-11,-14,0.24,0.48,1,1,26,24,37,13,-11,-14,1
104,-125,-5,0.92,0.04,1,1,48,2,4,46,-125,-5,1
105,25,56,0.4,0.56,1,0.8,19,21,30,20,25,56,0.8
106,26,73,0.3,0.88,0.2,1,6,44,5,5,26,73,0.2
107,11,42,0.72,0.44,1,1,27,23,13,37,11,42,1
108,23,7,0.68,0.64,1,1,17,33,16,34,23,7,1
109,47,24,0.8,0.72,1,1,13,37,11,39,47,24,1
110,-37,-100,0.2,0.82,1,1,10,40,39,11,-37,-100,1
111,-39,-75,0.8,0.76,1,1,12,38,9,41,-39,-75,1
112,-136,-29,0.52,0.44,1,1,28,22,24,26,-136,-29,1
113,-87,-55,0.72,0.4,1,0.1,4,1,14,36,-87,-55,0.1
114,-85,-80,0.6,0.32,0.8,1,33,17,19,21,-85,-80,0.8
115,55,100,0.9,0.62,0.8,1,19,31,6,34,55,100,0.8
116,31,31,0.48,0.96,1,1,3,47,25,25,31,31,1
117,5,12,0.56,0.7,1,1,14,36,22,28,5,12,1
118,50,81,0.38,0.64,1,0.02,1,0,31,19,50,81,0.02
119,7,14,0.42,0.84,1,1,9,41,27,23,7,14,1
120,-20,-44,0.42,0.86,0.2,1,7,43,1,9,-20,-44,0.2
121,-60,-71,0.84,0.72,0.06,1,14,36,0,3,-60,-71,0.06
122,-15,-17,0.58,0.58,1,1,21,29,21,29,-15,-17,1
123,-130,-68,0.42,0.22,1,1,38,12,28,22,-130,-68,1
124,-70,-80,0.64,0.75,1,0.8,15,25,19,31,-70,-80,0.8
125,7,5,0.96,0.68,1,1,16,34,2,48,7,5,1
126,74,78,0.76,0.92,1,0.4,1,19,12,38,74,78,0.4
127,16,15,0.6,0.58,1,0.06,0,3,20,30,16,15,0.06
128,100,74,0.36,0.28,1,0.02,0,1,32,18,100,74,0.02
129,115,94,0.64,0.52,0.2,1,24,26,3,7,115,94,0.2
130,-16,-46,0.3,0.46,0.4,1,22,28,15,5,-16,-46,0.4
131,-96,-86,0.8,0.76,1,1,12,38,10,40,-96,-86,1
132,-29,-48,0.36,0.32,1,1,33,17,32,18,-29,-48,1
133,-110,-50,0.88,0.12,1,0.06,2,1,7,43,-110,-50,0.06
134,-38,-27,0.56,0.8,1,1,10,40,23,27,-38,-27,1
135,6,5,0.92,0.84,1,1,8,42,4,46,6,5,1
136,34,94,0.16,0.88,1,1,7,43,41,9,34,94,1
137,54,74,0.34,0.6,1,0.2,5,5,31,19,54,74,0.2
138,8,9,0.48,0.26,1,1,37,13,25,25,8,9,1
139,7,45,0.22,0.68,0.02,1,16,34,1,0,7,45,0.02
140,115,5,0.92,0.52,0.4,1,23,27,3,17,115,5,0.4
141,77,118,0.56,0.76,1,1,12,38,23,27,77,118,1
142,29,25,0.92,0.86,1,1,6,44,4,46,29,25,1
143,91,84,0.84,0.68,1,0.4,7,13,8,42,91,84,0.4
144,144,114,0.48,0.44,1,1,28,22,26,24,144,114,1
145,-45,-81,0.38,0.64,1,0.2,3,7,31,19,-45,-81,0.2
146,-4,-11,0.22,0.68,1,0.4,5,15,30,11,-4,-11,0.4
147,-80,-97,0.64,0.92,1,0.2,1,9,18,32,-80,-97,0.2
148,-33,-5,0.56,0.1,0.1,1,46,4,1,4,-33,-5,0.1
149,-19,-48,0.68,0.8,1,1,10,40,16,34,-19,-48,1
150,-7,-5,0.96,0.68,1,1,16,34,2,48,-7,-5,1
151,-74,-78,0.76,0.92,1,0.4,1,19,12,38,-74,-78,0.4
152,-16,-15,0.88,0.58,1,0.06,1,2,6,44,-16,-15,0.06
153,-84,-74,0.36,0.28,1,0.02,0,1,32,18,-84,-74,0.02
154,-115,-94,0.64,0.52,0.2,1,24,26,3,7,-115,-94,0.2
155,138,106,0.6,0.48,1,1,25,25,21,29,138,106,1
156,30,63,0.48,0.56,1,0.1,3,2,26,24,30,63,0.1
157,67,66,0.84,0.76,0.8,1,12,38,9,31,67,66,0.8
158,30,48,0.56,0.76,1,1,12,38,22,28,30,48,1
159,101,82,0.84,0.68,1,0.4,5,15,8,42,101,82,0.4
160,-20,-25,0.44,0.9,1,0.02,1,0,26,24,-20,-25,0.02
161,-44,-61,0.26,0.34,1,1,33,17,36,14,-44,-61,1
162,-4,-15,0.9,0.74,1,1,12,38,5,45,-4,-15,1
163,-100,-60,0.44,0.44,0.06,1,26,24,2,1,-100,-60,0.06
164,-11,-2,0.78,0.96,1,1,2,48,12,38,-11,-2,1
165,37,100,0.2,0.82,1,1,10,40,39,11,37,100,1
166,39,75,0.8,0.76,1,1,12,38,9,41,39,75,1
167,136,29,0.52,0.44,1,1,28,22,24,26,136,29,1
168,87,55,0.8,0.4,1,0.1,4,1,10,40,87,55,0.1
169,85,70,0.9,0.32,0.8,1,33,17,6,34,85,70,0.8
170,16,46,0.3,0.64,0.4,1,18,32,15,5,16,46,0.4
171,96,86,0.8,0.76,1,1,12,38,10,40,96,86,1
172,29,48,0.36,0.32,1,1,33,17,32,18,29,48,1
173,100,60,0.88,0.12,1,0.06,2,1,7,43,100,60,0.06
174,38,27,0.56,0.8,1,1,10,40,23,27,38,27,1
175,-138,-106,0.6,0.48,1,1,25,25,20,30,-138,-106,1
176,-30,-63,0.48,0.56,1,0.1,3,2,26,24,-30,-63,0.1
