trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right
264,-125.0,-5.0,0.92,0.04,1.0,1.0,48.0,2.0,4.0,46.0,-125.0,-5.0
265,33.0,60.0,0.26,0.42,0.4,1.0,28.0,22.0,17.0,3.0,33.0,60.0
266,60.0,94.0,0.16,0.88,1.0,0.02,0.0,1.0,42.0,8.0,60.0,94.0
267,72.0,89.0,0.8,0.96,1.0,0.1,0.0,5.0,10.0,40.0,72.0,89.0
268,11.0,14.0,0.24,0.48,1.0,1.0,26.0,24.0,37.0,13.0,11.0,14.0
269,125.0,5.0,0.92,0.04,1.0,1.0,48.0,2.0,4.0,46.0,125.0,5.0
270,38.0,42.0,0.72,0.8,1.0,1.0,10.0,40.0,14.0,36.0,38.0,42.0
271,80.0,89.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,80.0,89.0
272,114.0,78.0,0.88,0.56,1.0,1.0,22.0,28.0,6.0,44.0,114.0,78.0
273,63.0,58.0,0.52,0.08,0.1,1.0,45.0,5.0,2.0,3.0,63.0,58.0
274,5.0,25.0,0.6,0.96,1.0,1.0,3.0,47.0,20.0,30.0,5.0,25.0
275,-80.0,-89.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,-80.0,-89.0
276,-13.0,-9.0,0.48,0.62,0.8,1.0,18.0,32.0,22.0,18.0,-13.0,-9.0
277,-144.0,-114.0,0.48,0.44,1.0,1.0,28.0,22.0,26.0,24.0,-144.0,-114.0
278,-90.0,-60.0,0.44,0.44,0.06,1.0,26.0,24.0,2.0,1.0,-90.0,-60.0
279,-4.0,-15.0,0.9,0.74,1.0,1.0,12.0,38.0,5.0,45.0,-4.0,-15.0
280,-25.0,-55.0,0.28,0.52,1.0,1.0,24.0,26.0,36.0,14.0,-25.0,-55.0
281,-21.0,-60.0,0.36,0.66,0.2,1.0,18.0,32.0,6.0,4.0,-21.0,-60.0
282,-11.0,-2.0,0.78,0.96,1.0,1.0,2.0,48.0,12.0,38.0,-11.0,-2.0
283,-101.0,-82.0,0.84,0.68,1.0,0.4,5.0,15.0,8.0,42.0,-101.0,-82.0
284,-31.0,-75.0,0.4,0.16,1.0,1.0,42.0,8.0,30.0,20.0,-31.0,-75.0
285,35.0,47.0,0.4,0.6,1.0,0.1,2.0,3.0,30.0,20.0,35.0,47.0
286,9.0,18.0,0.68,0.96,1.0,0.4,0.0,20.0,17.0,33.0,9.0,18.0
287,63.0,60.0,0.52,0.96,0.8,1.0,3.0,47.0,19.0,21.0,63.0,60.0
288,39.0,52.0,0.64,0.94,1.0,1.0,3.0,47.0,18.0,32.0,39.0,52.0
289,17.0,100.0,0.12,0.88,0.02,1.0,6.0,44.0,0.0,1.0,17.0,100.0
290,54.0,74.0,0.34,0.6,1.0,0.4,5.0,15.0,31.0,19.0,54.0,74.0
291,93.0,127.0,0.4,0.64,1.0,1.0,19.0,31.0,30.0,20.0,93.0,127.0
292,45.0,21.0,0.66,0.36,1.0,0.02,1.0,0.0,16.0,34.0,45.0,21.0
293,9.0,13.0,0.62,0.48,1.0,0.2,5.0,5.0,20.0,30.0,9.0,13.0
294,125.0,63.0,0.48,0.04,1.0,1.0,48.0,2.0,25.0,25.0,125.0,63.0
295,-5.0,-12.0,0.56,0.7,1.0,1.0,14.0,36.0,22.0,28.0,-5.0,-12.0
296,-15.0,-17.0,0.58,0.58,1.0,1.0,21.0,29.0,21.0,29.0,-15.0,-17.0
297,-16.0,-8.0,0.6,0.96,1.0,1.0,2.0,48.0,20.0,30.0,-16.0,-8.0
298,-7.0,-5.0,0.76,0.84,1.0,1.0,9.0,41.0,11.0,39.0,-7.0,-5.0
299,-40.0,-7.0,0.72,0.24,1.0,0.2,8.0,2.0,13.0,37.0,-40.0,-7.0
