trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right
60,60.0,81.0,0.38,0.64,1.0,0.2,3.0,7.0,31.0,19.0,60.0,81.0
61,4.0,11.0,0.22,0.68,1.0,0.4,5.0,15.0,39.0,11.0,4.0,11.0
62,80.0,97.0,0.64,0.92,1.0,0.2,1.0,9.0,18.0,32.0,80.0,97.0
63,33.0,20.0,0.56,0.1,0.1,1.0,46.0,4.0,1.0,4.0,33.0,20.0
64,19.0,48.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,19.0,48.0
65,48.0,51.0,0.74,0.62,0.4,1.0,20.0,30.0,5.0,15.0,48.0,51.0
66,39.0,42.0,0.5,0.3,1.0,0.8,25.0,15.0,25.0,25.0,39.0,42.0
67,39.0,42.0,0.44,0.32,1.0,1.0,34.0,16.0,27.0,23.0,39.0,42.0
68,42.0,61.0,0.52,0.76,1.0,1.0,12.0,38.0,25.0,25.0,42.0,61.0
69,37.0,115.0,0.32,0.82,1.0,1.0,10.0,40.0,33.0,17.0,37.0,115.0
70,-74.0,-60.0,0.88,0.84,1.0,1.0,8.0,42.0,7.0,43.0,-74.0,-60.0
71,-28.0,-40.0,0.38,0.74,1.0,1.0,13.0,37.0,31.0,19.0,-28.0,-40.0
72,-17.0,-100.0,0.12,0.88,0.02,1.0,6.0,44.0,0.0,1.0,-17.0,-100.0
73,-20.0,-25.0,0.44,0.9,1.0,0.02,1.0,0.0,26.0,24.0,-20.0,-25.0
74,-78.0,-101.0,0.64,0.76,1.0,1.0,13.0,37.0,17.0,33.0,-78.0,-101.0
75,106.0,44.0,0.62,0.28,1.0,1.0,36.0,14.0,18.0,32.0,106.0,44.0
76,11.0,19.0,0.5,0.5,1.0,1.0,24.0,26.0,26.0,24.0,11.0,19.0
77,125.0,80.0,0.56,0.48,0.02,1.0,27.0,23.0,0.0,1.0,125.0,80.0
78,16.0,38.0,0.4,0.74,1.0,1.0,13.0,37.0,30.0,20.0,16.0,38.0
79,97.0,70.0,0.92,0.64,0.02,1.0,19.0,31.0,0.0,1.0,97.0,70.0
80,-91.0,-84.0,0.84,0.68,1.0,0.4,7.0,13.0,8.0,42.0,-91.0,-84.0
81,-68.0,-40.0,0.52,0.44,0.2,1.0,26.0,24.0,8.0,2.0,-68.0,-40.0
82,-74.0,-78.0,0.76,0.92,1.0,0.4,1.0,19.0,12.0,38.0,-74.0,-78.0
83,-30.0,-29.0,0.94,0.88,1.0,1.0,6.0,44.0,4.0,46.0,-30.0,-29.0
84,-7.0,-20.0,0.38,0.88,1.0,1.0,6.0,44.0,31.0,19.0,-7.0,-20.0
85,72.0,60.0,0.6,0.36,1.0,1.0,31.0,19.0,20.0,30.0,72.0,60.0
86,30.0,29.0,0.94,0.88,1.0,1.0,6.0,44.0,4.0,46.0,30.0,29.0
87,18.0,47.0,0.32,0.84,1.0,1.0,8.0,42.0,33.0,17.0,18.0,47.0
88,94.0,75.0,0.88,0.3,0.8,1.0,41.0,9.0,15.0,25.0,94.0,75.0
89,116.0,42.0,0.94,0.24,1.0,1.0,37.0,13.0,4.0,46.0,116.0,42.0
90,25.0,16.0,0.9,0.44,0.06,1.0,26.0,24.0,1.0,2.0,25.0,16.0
91,31.0,75.0,0.4,0.16,1.0,1.0,42.0,8.0,30.0,20.0,31.0,75.0
92,74.0,60.0,0.88,0.84,1.0,1.0,8.0,42.0,7.0,43.0,74.0,60.0
93,98.0,80.0,0.92,0.64,0.1,1.0,18.0,32.0,0.0,5.0,98.0,80.0
94,25.0,55.0,0.28,0.52,1.0,1.0,24.0,26.0,36.0,14.0,25.0,55.0
95,-16.0,-15.0,0.6,0.58,1.0,0.06,0.0,3.0,20.0,30.0,-16.0,-15.0
96,-94.0,-100.0,0.52,0.64,1.0,0.4,12.0,8.0,25.0,25.0,-94.0,-100.0
97,-94.0,-75.0,0.88,0.3,0.8,1.0,41.0,9.0,15.0,25.0,-94.0,-75.0
98,-9.0,-22.0,0.68,0.56,1.0,1.0,22.0,28.0,16.0,34.0,-9.0,-22.0
99,-4.0,-11.0,0.22,0.68,1.0,0.4,5.0,15.0,39.0,11.0,-4.0,-11.0
100,-50.0,-81.0,0.38,0.64,1.0,0.02,1.0,0.0,31.0,19.0,-50.0,-81.0
101,-125.0,-63.0,0.48,0.04,1.0,1.0,48.0,2.0,25.0,25.0,-125.0,-63.0
102,-36.0,-21.0,0.24,0.84,1.0,1.0,9.0,41.0,37.0,13.0,-36.0,-21.0
103,-7.0,-5.0,0.96,0.68,1.0,1.0,16.0,34.0,2.0,48.0,-7.0,-5.0
104,-11.0,-14.0,0.44,0.44,1.0,0.02,0.0,1.0,27.0,23.0,-11.0,-14.0
105,25.0,56.0,0.4,0.56,1.0,0.8,19.0,21.0,30.0,20.0,25.0,56.0
106,26.0,73.0,0.3,0.88,0.2,1.0,6.0,44.0,5.0,5.0,26.0,73.0
107,11.0,42.0,0.72,0.44,1.0,1.0,27.0,23.0,13.0,37.0,11.0,42.0
108,23.0,7.0,0.68,0.64,1.0,1.0,17.0,33.0,16.0,34.0,23.0,7.0
109,47.0,24.0,0.8,0.72,1.0,1.0,13.0,37.0,11.0,39.0,47.0,24.0
110,-45.0,-94.0,0.16,0.88,1.0,0.2,3.0,7.0,41.0,9.0,-45.0,-94.0
111,-37.0,-100.0,0.2,0.82,1.0,1.0,10.0,40.0,39.0,11.0,-37.0,-100.0
112,-20.0,-44.0,0.42,0.86,0.2,1.0,7.0,43.0,1.0,9.0,-20.0,-44.0
113,-7.0,-14.0,0.42,0.84,1.0,1.0,9.0,41.0,27.0,23.0,-7.0,-14.0
114,-11.0,-14.0,0.24,0.48,1.0,1.0,26.0,24.0,37.0,13.0,-11.0,-14.0
115,55.0,100.0,0.9,0.62,0.8,1.0,19.0,31.0,6.0,34.0,55.0,100.0
116,31.0,31.0,0.48,0.96,1.0,1.0,3.0,47.0,25.0,25.0,31.0,31.0
117,5.0,12.0,0.56,0.7,1.0,1.0,14.0,36.0,22.0,28.0,5.0,12.0
118,50.0,81.0,0.38,0.64,1.0,0.02,1.0,0.0,31.0,19.0,50.0,81.0
119,7.0,14.0,0.42,0.84,1.0,1.0,9.0,41.0,27.0,23.0,7.0,14.0
120,-11.0,-8.0,0.64,0.44,0.06,1.0,27.0,23.0,1.0,2.0,-11.0,-8.0
121,-97.0,-86.0,0.68,0.64,1.0,1.0,18.0,32.0,16.0,34.0,-97.0,-86.0
122,-8.0,-12.0,0.92,0.76,1.0,0.1,1.0,4.0,4.0,46.0,-8.0,-12.0
123,-17.0,-50.0,0.6,0.88,1.0,1.0,6.0,44.0,21.0,29.0,-17.0,-50.0
124,-11.0,-19.0,0.5,0.5,1.0,1.0,24.0,26.0,26.0,24.0,-11.0,-19.0
125,7.0,5.0,0.96,0.68,1.0,1.0,16.0,34.0,2.0,48.0,7.0,5.0
126,74.0,78.0,0.76,0.92,1.0,0.4,1.0,19.0,12.0,38.0,74.0,78.0
127,16.0,15.0,0.6,0.58,1.0,0.06,0.0,3.0,20.0,30.0,16.0,15.0
128,100.0,74.0,0.36,0.28,1.0,0.02,0.0,1.0,32.0,18.0,100.0,74.0
