,ml,mr,pr,pl,rr,rl,gainloss,mdiff,pdiff,adiff,ev_r,ev_l,prob_o_l,prob_o_r,nobrainer
49,-38.0,-81.0,0.62,0.36,1.0,0.8,2.0,-43.0,-0.26,0.2,-36.54,36.54,0.64,0.38,0
50,-9.0,-13.0,0.38,0.52,1.0,0.8,2.0,-4.0,0.14,0.2,-0.26,0.26,0.48,0.62,1
51,-34.0,-94.0,0.84,0.12,1.0,0.2,2.0,-60.0,-0.72,0.8,-74.88,74.88,0.88,0.16,0
52,-28.0,-40.0,0.62,0.26,1.0,1.0,2.0,-12.0,-0.36,0.0,-17.52,17.52,0.74,0.38,0
53,-62.0,-22.0,0.32,0.72,1.0,1.0,2.0,40.0,0.4,0.0,37.6,-37.6,0.28,0.68,0
54,-118.0,-32.0,0.62,0.8,1.0,1.0,2.0,86.0,0.18,0.0,74.56,-74.56,0.2,0.38,0
55,-115.0,-5.0,0.08,0.48,0.4,1.0,2.0,110.0,0.4,-0.6,54.8,-54.8,0.52,0.92,0
56,-77.0,-118.0,0.44,0.24,1.0,1.0,2.0,-41.0,-0.2,0.0,-33.44,33.44,0.76,0.56,0
57,-29.0,-25.0,0.08,0.14,1.0,1.0,2.0,4.0,0.06,0.0,2.06,-2.06,0.86,0.92,0
58,-91.0,-84.0,0.16,0.32,1.0,0.4,2.0,7.0,0.16,0.6,15.68,-15.68,0.68,0.84,0
59,-144.0,-114.0,0.52,0.56,1.0,1.0,2.0,30.0,0.04,0.0,21.36,-21.36,0.44,0.48,0
60,38.0,81.0,0.62,0.36,1.0,0.2,1.0,43.0,-0.26,0.8,36.54,-36.54,0.64,0.38,0
61,4.0,11.0,0.78,0.32,1.0,0.4,1.0,7.0,-0.46,0.6,7.3,-7.3,0.68,0.22,0
62,70.0,97.0,0.36,0.08,1.0,0.2,1.0,27.0,-0.28,0.8,29.32,-29.32,0.92,0.64,0
63,33.0,5.0,0.44,0.9,0.1,1.0,1.0,-28.0,0.46,-0.9,-27.5,27.5,0.1,0.56,0
64,19.0,48.0,0.32,0.2,1.0,1.0,1.0,29.0,-0.12,0.0,11.56,-11.56,0.8,0.68,0
65,48.0,51.0,0.26,0.38,0.4,1.0,1.0,3.0,0.12,-0.6,-4.98,4.98,0.62,0.74,1
66,5.0,42.0,0.64,0.08,1.0,0.8,1.0,37.0,-0.56,0.2,26.48,-26.48,0.92,0.36,0
67,39.0,42.0,0.56,0.68,1.0,1.0,1.0,3.0,0.12,0.0,-3.0,3.0,0.32,0.44,1
68,42.0,61.0,0.48,0.24,1.0,1.0,1.0,19.0,-0.24,0.0,19.2,-19.2,0.76,0.52,0
69,37.0,115.0,0.68,0.18,1.0,1.0,1.0,78.0,-0.5,0.0,71.54,-71.54,0.82,0.32,0
70,-16.0,-8.0,0.4,0.04,1.0,1.0,2.0,8.0,-0.36,0.0,-2.56,2.56,0.96,0.6,1
71,-98.0,-65.0,0.08,0.64,1.0,0.06,2.0,33.0,0.56,0.94,57.52,-57.52,0.36,0.92,0
72,-88.0,-74.0,0.32,0.24,0.02,1.0,2.0,14.0,-0.08,-0.98,-2.56,2.56,0.76,0.68,1
73,-15.0,-53.0,0.68,0.04,1.0,1.0,2.0,-38.0,-0.64,0.0,-35.44,35.44,0.96,0.32,0
74,-22.0,-23.0,0.3,0.34,1.0,1.0,2.0,-1.0,0.04,0.0,0.58,-0.58,0.66,0.7,1
75,106.0,44.0,0.38,0.72,1.0,1.0,1.0,-62.0,0.34,0.0,-59.6,59.6,0.28,0.62,0
76,11.0,19.0,0.5,0.5,1.0,1.0,1.0,8.0,0.0,0.0,4.0,-4.0,0.5,0.5,0
77,125.0,80.0,0.44,0.52,0.02,1.0,1.0,-45.0,0.08,-0.98,-29.8,29.8,0.48,0.56,0
78,16.0,38.0,0.6,0.26,1.0,1.0,1.0,22.0,-0.34,0.0,18.64,-18.64,0.74,0.4,0
79,97.0,70.0,0.08,0.36,0.02,1.0,1.0,-27.0,0.28,-0.98,-29.32,29.32,0.64,0.92,0
80,-68.0,-29.0,0.48,0.56,0.8,1.0,2.0,39.0,0.08,-0.2,24.16,-24.16,0.44,0.52,0
81,-94.0,-115.0,0.48,0.36,1.0,0.4,2.0,-21.0,-0.12,0.6,-21.36,21.36,0.64,0.52,0
82,-62.0,-134.0,0.8,0.74,1.0,1.0,2.0,-72.0,-0.06,0.0,-61.32,61.32,0.26,0.2,0
83,-27.0,-7.0,0.32,0.78,1.0,0.06,2.0,20.0,0.46,0.94,18.82,-18.82,0.22,0.68,0
84,-39.0,-34.0,0.12,0.24,1.0,1.0,2.0,5.0,0.12,0.0,5.28,-5.28,0.76,0.88,0
85,72.0,60.0,0.4,0.64,1.0,1.0,1.0,-12.0,0.24,0.0,-22.08,22.08,0.36,0.6,0
86,30.0,29.0,0.06,0.12,1.0,1.0,1.0,-1.0,0.06,0.0,-1.86,1.86,0.88,0.94,0
87,18.0,47.0,0.68,0.16,1.0,1.0,1.0,29.0,-0.52,0.0,29.08,-29.08,0.84,0.32,0
88,94.0,34.0,0.12,0.84,0.8,1.0,1.0,-60.0,0.72,-0.2,-74.88,74.88,0.16,0.88,0
89,116.0,42.0,0.06,0.76,1.0,1.0,1.0,-74.0,0.7,0.0,-85.64,85.64,0.24,0.94,0
90,25.0,16.0,0.1,0.56,0.06,1.0,1.0,-9.0,0.46,-0.94,-12.4,12.4,0.44,0.9,0
91,31.0,75.0,0.6,0.84,1.0,1.0,1.0,44.0,0.24,0.0,18.96,-18.96,0.16,0.4,1
92,74.0,60.0,0.12,0.16,1.0,1.0,1.0,-14.0,0.04,0.0,-4.64,4.64,0.84,0.88,0
93,98.0,71.0,0.08,0.36,0.1,1.0,1.0,-27.0,0.28,-0.9,-29.6,29.6,0.64,0.92,0
94,25.0,55.0,0.72,0.48,1.0,1.0,1.0,30.0,-0.24,0.0,27.6,-27.6,0.52,0.28,0
95,-12.0,-134.0,0.94,0.28,1.0,1.0,2.0,-122.0,-0.66,0.0,-122.6,122.6,0.72,0.06,0
96,-11.0,-4.0,0.32,0.78,0.2,1.0,2.0,7.0,0.46,-0.8,7.3,-7.3,0.22,0.68,0
97,-13.0,-9.0,0.52,0.38,0.02,1.0,2.0,4.0,-0.14,-0.98,0.26,-0.26,0.62,0.48,1
98,-47.0,-99.0,0.84,0.36,0.4,1.0,2.0,-52.0,-0.48,-0.6,-66.24,66.24,0.64,0.16,0
99,-60.0,-40.0,0.54,0.7,0.1,1.0,2.0,20.0,0.16,-0.9,20.4,-20.4,0.3,0.46,0
100,-33.0,-60.0,0.74,0.58,0.4,1.0,2.0,-27.0,-0.16,-0.6,-25.26,25.26,0.42,0.26,0
101,-34.0,-94.0,0.84,0.12,1.0,0.02,2.0,-60.0,-0.72,0.98,-74.88,74.88,0.88,0.16,0
102,-72.0,-89.0,0.32,0.04,1.0,0.1,2.0,-17.0,-0.28,0.9,-25.6,25.6,0.96,0.68,0
103,-11.0,-14.0,0.76,0.52,1.0,1.0,2.0,-3.0,-0.24,0.0,-4.92,4.92,0.48,0.24,0
104,-125.0,-5.0,0.08,0.96,1.0,1.0,2.0,120.0,0.88,0.0,119.6,-119.6,0.04,0.92,0
105,5.0,56.0,0.92,0.44,1.0,0.8,1.0,51.0,-0.48,0.2,49.32,-49.32,0.56,0.08,0
106,26.0,73.0,0.7,0.12,0.2,1.0,1.0,47.0,-0.58,-0.8,47.98,-47.98,0.88,0.3,0
107,11.0,42.0,0.28,0.56,1.0,1.0,1.0,31.0,0.28,0.0,5.6,-5.6,0.44,0.72,1
108,23.0,7.0,0.32,0.36,1.0,1.0,1.0,-16.0,0.04,0.0,-6.04,6.04,0.64,0.68,0
109,47.0,24.0,0.2,0.28,1.0,1.0,1.0,-23.0,0.08,0.0,-8.36,8.36,0.72,0.8,0
110,-37.0,-100.0,0.8,0.18,1.0,1.0,2.0,-63.0,-0.62,0.0,-73.34,73.34,0.82,0.2,0
111,-39.0,-75.0,0.2,0.24,1.0,1.0,2.0,-36.0,0.04,0.0,-5.64,5.64,0.76,0.8,1
112,-136.0,-29.0,0.48,0.56,1.0,1.0,2.0,107.0,0.08,0.0,62.24,-62.24,0.44,0.52,0
113,-87.0,-55.0,0.44,0.6,1.0,0.1,2.0,32.0,0.16,0.9,28.0,-28.0,0.4,0.56,0
114,-85.0,-35.0,0.1,0.68,0.8,1.0,2.0,50.0,0.58,-0.2,54.3,-54.3,0.32,0.9,0
115,55.0,42.0,0.1,0.38,0.8,1.0,1.0,-13.0,0.28,-0.2,-16.7,16.7,0.62,0.9,0
116,31.0,31.0,0.52,0.04,1.0,1.0,1.0,0.0,-0.48,0.0,14.88,-14.88,0.96,0.48,0
117,5.0,12.0,0.44,0.3,1.0,1.0,1.0,7.0,-0.14,0.0,3.78,-3.78,0.7,0.56,0
118,38.0,81.0,0.62,0.36,1.0,0.02,1.0,43.0,-0.26,0.98,36.54,-36.54,0.64,0.38,0
119,7.0,14.0,0.58,0.16,1.0,1.0,1.0,7.0,-0.42,0.0,7.0,-7.0,0.84,0.42,0
120,-20.0,-44.0,0.58,0.14,0.2,1.0,2.0,-24.0,-0.44,-0.8,-22.72,22.72,0.86,0.42,0
121,-42.0,-71.0,0.16,0.28,0.06,1.0,2.0,-29.0,0.12,-0.94,0.4,-0.4,0.72,0.84,1
122,-15.0,-17.0,0.42,0.42,1.0,1.0,2.0,-2.0,0.0,0.0,-0.84,0.84,0.58,0.58,0
123,-130.0,-68.0,0.58,0.78,1.0,1.0,2.0,62.0,0.2,0.0,61.96,-61.96,0.22,0.42,0
124,-70.0,-97.0,0.36,0.08,1.0,0.8,2.0,-27.0,-0.28,0.2,-29.32,29.32,0.92,0.64,0
125,7.0,5.0,0.04,0.32,1.0,1.0,1.0,-2.0,0.28,0.0,-2.04,2.04,0.68,0.96,0
126,74.0,78.0,0.24,0.08,1.0,0.4,1.0,4.0,-0.16,0.6,12.8,-12.8,0.92,0.76,0
127,16.0,15.0,0.08,0.42,1.0,0.06,1.0,-1.0,0.34,0.94,-5.52,5.52,0.58,0.92,0
128,84.0,74.0,0.64,0.72,1.0,0.02,1.0,-10.0,0.08,0.98,-13.12,13.12,0.28,0.36,0
129,115.0,94.0,0.36,0.48,0.2,1.0,1.0,-21.0,0.12,-0.8,-21.36,21.36,0.52,0.64,0
130,-16.0,-46.0,0.7,0.12,0.4,1.0,2.0,-30.0,-0.58,-0.6,-30.28,30.28,0.88,0.3,0
131,-96.0,-86.0,0.2,0.24,1.0,1.0,2.0,10.0,0.04,0.0,5.84,-5.84,0.76,0.8,0
132,-29.0,-48.0,0.64,0.68,1.0,1.0,2.0,-19.0,0.04,0.0,-11.0,11.0,0.32,0.36,1
133,-125.0,-17.0,0.12,0.88,1.0,0.06,2.0,108.0,0.76,0.94,107.96,-107.96,0.12,0.88,0
134,-38.0,-27.0,0.44,0.2,1.0,1.0,2.0,11.0,-0.24,0.0,-4.28,4.28,0.8,0.56,1
135,6.0,5.0,0.08,0.16,1.0,1.0,1.0,-1.0,0.08,0.0,-0.56,0.56,0.84,0.92,0
136,34.0,94.0,0.84,0.12,1.0,1.0,1.0,60.0,-0.72,0.0,74.88,-74.88,0.88,0.16,0
137,54.0,74.0,0.66,0.4,1.0,0.2,1.0,20.0,-0.26,0.8,27.24,-27.24,0.6,0.34,0
138,8.0,9.0,0.52,0.74,1.0,1.0,1.0,1.0,0.22,0.0,-1.24,1.24,0.26,0.48,1
139,7.0,27.0,0.78,0.32,0.02,1.0,1.0,20.0,-0.46,-0.98,18.82,-18.82,0.68,0.22,0
140,115.0,5.0,0.08,0.48,0.4,1.0,1.0,-110.0,0.4,-0.6,-54.8,54.8,0.52,0.92,0
141,77.0,118.0,0.44,0.24,1.0,1.0,1.0,41.0,-0.2,0.0,33.44,-33.44,0.76,0.56,0
142,29.0,25.0,0.08,0.14,1.0,1.0,1.0,-4.0,0.06,0.0,-2.06,2.06,0.86,0.92,0
143,91.0,84.0,0.16,0.32,1.0,0.4,1.0,-7.0,0.16,0.6,-15.68,15.68,0.68,0.84,0
144,144.0,114.0,0.52,0.56,1.0,1.0,1.0,-30.0,0.04,0.0,-21.36,21.36,0.44,0.48,0
145,-38.0,-81.0,0.62,0.36,1.0,0.2,2.0,-43.0,-0.26,0.8,-36.54,36.54,0.64,0.38,0
146,-4.0,-11.0,0.78,0.32,1.0,0.4,2.0,-7.0,-0.46,0.6,-7.3,7.3,0.68,0.22,0
147,-70.0,-97.0,0.36,0.08,1.0,0.2,2.0,-27.0,-0.28,0.8,-29.32,29.32,0.92,0.64,0
148,-33.0,-5.0,0.44,0.9,0.1,1.0,2.0,28.0,0.46,-0.9,27.5,-27.5,0.1,0.56,0
149,-19.0,-48.0,0.32,0.2,1.0,1.0,2.0,-29.0,-0.12,0.0,-11.56,11.56,0.8,0.68,0
150,-7.0,-5.0,0.04,0.32,1.0,1.0,2.0,2.0,0.28,0.0,2.04,-2.04,0.68,0.96,0
151,-74.0,-78.0,0.24,0.08,1.0,0.4,2.0,-4.0,-0.16,0.6,-12.8,12.8,0.92,0.76,0
152,-16.0,-15.0,0.08,0.42,1.0,0.06,2.0,1.0,0.34,0.94,5.52,-5.52,0.58,0.92,0
153,-84.0,-74.0,0.64,0.72,1.0,0.02,2.0,10.0,0.08,0.98,13.12,-13.12,0.28,0.36,0
154,-115.0,-94.0,0.36,0.48,0.2,1.0,2.0,21.0,0.12,-0.8,21.36,-21.36,0.52,0.64,0
155,138.0,106.0,0.4,0.52,1.0,1.0,1.0,-32.0,0.12,0.0,-29.36,29.36,0.48,0.6,0
156,9.0,63.0,0.52,0.44,1.0,0.1,1.0,54.0,-0.08,0.9,28.8,-28.8,0.56,0.48,0
157,67.0,66.0,0.16,0.24,0.8,1.0,1.0,-1.0,0.08,-0.2,-5.52,5.52,0.76,0.84,0
158,30.0,48.0,0.44,0.24,1.0,1.0,1.0,18.0,-0.2,0.0,13.92,-13.92,0.76,0.56,0
159,93.0,82.0,0.16,0.32,1.0,0.4,1.0,-11.0,0.16,0.6,-16.64,16.64,0.68,0.84,0
160,-16.0,-25.0,0.56,0.1,1.0,0.02,2.0,-9.0,-0.46,0.98,-12.4,12.4,0.9,0.44,0
161,-44.0,-61.0,0.74,0.66,1.0,1.0,2.0,-17.0,-0.08,0.0,-16.1,16.1,0.34,0.26,0
162,-4.0,-15.0,0.1,0.26,1.0,1.0,2.0,-11.0,0.16,0.0,-0.46,0.46,0.74,0.9,1
