Eyetracker File is:	Ambi_vp03_block2_1342240817.edfScanner Trigger at times:	12000	15000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
90	0.84	0.42	1	1	7	14	3000	5000	1000	2000	2000	2000	2000	4000	1	3533	3550	4567	10615	8600	14715	10711	15	516	bet_right	Nothing yet	1	1	8	1	14	3	2	0	0	14	55	blah	3333333	Not_first_trial	179895	165181	168197	168713	168730	169747	171762	173780	175795	175891	165180
40	0.68	0.96	1	1	7	5	3000	5000	1000	2000	2000	0	0	0	2	3567	3584	4601	Not shocked this trial	No picture this trial	6616	blah_de_blah_de_blah	16	550	bet_left	Nothing yet	1	1	8	4	7	1	0	0	0	7	Not fifth trial	blah	3333333	Not_first_trial	188527	181913	184928	185478	185495	186512	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	181911
90	0.92	0.76	1	0.4	74	78	3000	5000	1000	2000	2000	0	0	0	1	3466	3483	4500	Not shocked this trial	No picture this trial	6515	blah_de_blah_de_blah	17	450	bet_right	Nothing yet	1	1	8	2	78	1	1	0	0	78	Not fifth trial	blah	3333333	Not_first_trial	197060	190545	193560	194010	194027	195044	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	190544
90	0.58	0.6	1	0.06	16	15	3000	5000	1000	2000	2000	0	0	0	1	3466	3484	4500	Not shocked this trial	No picture this trial	6516	blah_de_blah_de_blah	18	449	bet_right	Nothing yet	1	1	8	4	15	2	1	0	0	15	Not fifth trial	blah	3333333	Not_first_trial	205592	199077	202093	202542	202560	203576	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	199076
90	0.28	0.36	1	0.02	100	74	3000	5000	1000	2000	2000	0	0	0	2	3366	3384	4401	Not shocked this trial	No picture this trial	6416	blah_de_blah_de_blah	19	349	bet_right	Nothing yet	1	0	8	3	74	2	2	0	0	74	Not fifth trial	blah	3333333	Not_first_trial	214024	207610	210625	210974	210992	212009	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	207608
90	0.52	0.64	0.2	1	115	94	3000	5000	1000	2000	2000	2000	2000	4000	1	3432	3450	4467	10515	8500	14648	10647	20	416	bet_right	Nothing yet	1	1	11	2	94	2	3	0	0	94	78	blah	3333333	Not_first_trial	230689	216042	219057	219473	219491	220508	222523	224541	226556	226688	216041
40	0.84	0.92	1	1	6	5	3000	5000	1000	2000	2000	0	0	0	2	3666	3684	4701	Not shocked this trial	No picture this trial	6716	blah_de_blah_de_blah	21	650	bet_left	Nothing yet	1	1	11	2	6	1	0	0	0	6	Not fifth trial	blah	3333333	Not_first_trial	239421	232707	235722	236372	236389	237406	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	232705
40	0.88	0.16	1	1	34	94	3000	5000	1000	2000	2000	0	0	0	1	5432	5450	6466	Not shocked this trial	No picture this trial	8482	blah_de_blah_de_blah	22	2416	bet_left	Nothing yet	0	1	11	3	34	2	0	0	0	34	Not fifth trial	blah	3333333	Not_first_trial	249920	241439	244454	246870	246888	247904	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	241438
90	0.6	0.34	1	0.2	54	74	3000	5000	1000	2000	2000	0	0	0	1	3399	3416	4433	Not shocked this trial	No picture this trial	6449	blah_de_blah_de_blah	23	383	bet_right	Nothing yet	1	0	11	2	74	2	1	0	0	74	Not fifth trial	blah	3333333	Not_first_trial	258386	251938	254953	255336	255353	256370	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	251937
40	0.26	0.48	1	1	8	9	3000	5000	1000	2000	2000	0	0	0	2	3366	3384	4400	Not shocked this trial	No picture this trial	6416	blah_de_blah_de_blah	24	349	bet_left	Nothing yet	1	0	11	1	0	2	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	266818	260404	263419	263768	263786	264802	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	260402
