,resp_r_1,prob_o_l,prob_o_r,mag_left,mag_right,info_amb,revealed_o_r,num_revealed,info_amb_sqrt,resp_amb_1,ambig_r,ambig_l,gain_or_loss_trial,mag_ambig,mag_unambig,prob_x_unambig,prob_x_ambig,prob_x_l,prob_x_r,revealed_o_ambig,revealed_x_ambig,revealed_ambi,prob_x_ambig_bayes,ambiguityLevel,MID
95,0.0,0.4,0.72,0.31,0.77,1.0,14.000000000000002,50.0,1.0,0.0,0,0.0,gain,0.77,0.31,0.6,0.28,0.6,0.28,14.000000000000002,36.0,1.0,0.2884615384615385,-2.7416573867739418,S30
96,0.0,0.24,0.56,0.65,1.34,0.08,2.0,4.0,0.282842712474619,0.0,1,0.0,gain,1.34,0.65,0.76,0.43999999999999995,0.76,0.43999999999999995,2.0,2.0,0.282842712474619,0.5,-0.41421356237309515,S30
97,0.0,0.07999999999999996,0.72,0.16,0.54,0.02,1.0,1.0,0.1414213562373095,0.0,1,0.0,gain,0.54,0.16,0.92,0.28,0.92,0.28,1.0,0.0,0.1414213562373095,0.6666666666666666,0.0,S30
98,0.0,0.040000000000000036,0.52,0.65,1.17,0.1,4.0,5.0,0.31622776601683794,0.0,1,0.0,gain,1.17,0.65,0.96,0.48,0.96,0.48,4.0,1.0,0.31622776601683794,0.7142857142857143,-1.0,S30
99,0.0,0.19999999999999996,0.24,0.38,0.2,1.0,38.0,50.0,1.0,0.0,0,0.0,gain,0.2,0.38,0.8,0.76,0.8,0.76,38.0,12.0,1.0,0.75,-5.164414002968976,S30
100,1.0,0.07999999999999996,0.040000000000000036,0.33,0.05,1.0,48.0,50.0,1.0,1.0,0,0.0,gain,0.05,0.33,0.92,0.96,0.92,0.96,48.0,2.0,1.0,0.9423076923076923,-5.928203230275509,S30
101,1.0,0.28,0.28,0.94,0.81,0.04,2.0,2.0,0.2,1.0,1,0.0,gain,0.81,0.94,0.72,0.72,0.72,0.72,2.0,0.0,0.2,0.75,-0.41421356237309515,S30
102,0.0,0.5,0.64,0.66,0.66,1.0,18.0,50.0,1.0,0.0,0,0.0,gain,0.66,0.66,0.5,0.36,0.5,0.36,18.0,32.0,1.0,0.36538461538461536,-3.2426406871192848,S30
103,1.0,0.52,0.48,1.25,1.15,0.8,19.0,40.0,0.8944271909999159,1.0,1,0.0,gain,1.15,1.25,0.48,0.52,0.48,0.52,19.0,21.0,0.8944271909999159,0.47619047619047616,-3.358898943540674,S30
104,1.0,0.74,0.3400000000000001,0.59,0.32,0.08,1.0,4.0,0.282842712474619,1.0,1,0.0,gain,0.32,0.59,0.26,0.6599999999999999,0.26,0.6599999999999999,1.0,3.0,0.282842712474619,0.3333333333333333,0.0,S30
