Scenario - subjective stimulus intensity
Logfile written - 10/02/2017 15:22:00

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

vp10	1	Picture	present_text	-9833	0	1	1011373	3	0	next	false_alarm	2
vp10	1	Response	3	1001408	1011241	1
vp10	2	Picture	VAS	1001540	0	2	1167	3	0	next	other	0
vp10	3	Picture	VAS	1002707	0	1	1166	3	0	next	other	0
vp10	4	Picture	VAS	1003873	0	2	1167	3	0	next	other	0
vp10	5	Picture	VAS	1005040	0	1	1167	2	0	next	other	0
vp10	6	Picture	VAS	1006207	0	1	1166	2	0	next	other	0
vp10	7	Picture	VAS	1007373	0	1	1167	2	0	next	other	0
vp10	8	Picture	VAS	1008540	0	1	1166	2	0	next	other	0
vp10	9	Picture	VAS	1009706	0	1	1167	2	0	next	other	0
vp10	10	Picture	VAS	1010873	0	1	1166	2	0	next	other	0
vp10	11	Picture	VAS	1012039	0	1	1167	2	0	next	other	0
vp10	12	Picture	VAS	1013206	0	1	1166	2	0	next	other	0
vp10	13	Picture	VAS	1014372	0	1	1167	2	0	next	other	0
vp10	14	Picture	VAS	1015539	0	1	1166	2	0	next	other	0
vp10	15	Picture	VAS	1016705	0	1	1167	2	0	next	other	0
vp10	16	Picture	VAS	1017872	0	1	1166	2	0	next	other	0
vp10	17	Picture	VAS	1019038	0	1	1167	2	0	next	other	0
vp10	18	Picture	VAS	1020205	0	1	1166	2	0	next	other	0
vp10	19	Picture	VAS	1021371	0	1	1167	2	0	next	other	0
vp10	20	Picture	VAS	1022538	0	1	1166	2	0	next	other	0
vp10	21	Picture	VAS	1023704	0	1	1167	2	0	next	other	0
vp10	22	Picture	VAS	1024871	0	1	1166	3	0	next	other	0
vp10	23	Picture	VAS	1026037	0	2	1167	3	0	next	other	0
vp10	24	Picture	VAS	1027204	0	1	1166	3	0	next	other	0
vp10	25	Picture	VAS	1028370	0	2	1167	3	0	next	other	0
vp10	26	Picture	VAS	1029537	0	1	1167	2	0	next	other	0
vp10	27	Picture	VAS	1030704	0	1	1166	2	0	next	other	0
vp10	28	Picture	VAS	1031870	0	1	1167	2	0	next	other	0
vp10	29	Picture	VAS	1033037	0	1	1166	2	0	next	other	0
vp10	30	Picture	VAS	1034203	0	1	1167	2	0	next	other	0
vp10	31	Picture	VAS	1035370	0	1	1166	2	0	next	other	0
vp10	32	Picture	VAS	1036536	0	1	1167	2	0	next	other	0
